#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T12:05:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:05:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/872/L9/table1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18729009
#Name: J/ApJ/872/L9
#Title: TESS obs. of massive O and B stars (Pedersen+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/l9	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/872/l9	    IVOID of underlying data collection
#INFO	creator=Pedersen M.G.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872L...9P	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/L9	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18729009	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-09-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_872_L9_table1:
#Name: J/ApJ/872/L9/table1
#Title: Identification numbers, parameters and variability classification of the 154 O and B stars
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	TIC	(I9)	[12359289/469906369] TESS Input Cat. identifier	[ucd=meta.id;meta.main]
#Column	f_TIC	(A1)	[a] a: an LMC member	[ucd=meta.code]
#Column	Name	(a19)	Source name	[ucd=meta.id]
#Column	SpType	(a14)	SIMBAD spectral type	[ucd=src.spType]
#Column	Gaia	(I19)	? Gaia DR2 identifier	[ucd=meta.id]
#Column	GMag	(F5.2)	[-4.6/1.8]? Absolute Gaia G band magnitude	[ucd=phys.magAbs]
#Column	BP-RP	(F5.2)	[-0.4/3.2]? Gaia Blue-Red passbands color index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	Nsp	(a9)	Number(s) of high-resiolution spectra available in the ESO archive (2)	[ucd=meta.number]
#Column	Inst	(a7)	Instrument(s) (2)	[ucd=meta.id;instr]
#Column	VarType	(a43)	Variability type (3)	[ucd=meta.note]
#Column	SimbadName	(a19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	TIC	f_TIC	Name	SpType	Gaia	GMag	BP-RP	Nsp	Inst	VarType	SimbadName	_RA	_DE
      26	115177591	 	HD 201108          	B8IV/V        	6775980889978989824	-0.16	-0.07	-        	-      	SPB                                        	HD 201108          	317.17202	-37.24270
      27	139468902	 	HD 213155          	B9.5V         	6521195703338406272	 1.01	-0.05	1,63,1   	F,X,U  	rot / SPB?                                 	HD 213155          	337.56560	-42.29107
      28	141281495	 	HD 37854           	B9/9.5V       	4648666996817764736	 0.57	-0.02	-        	-      	rot?                                       	HD 37854           	083.24848	-75.23678
      29	149039372	a	HD 34543           	B8V           	4663645952980782848	 0.30	-0.05	-        	-      	rot? / SPB?                                	HD 34543           	078.35474	-65.23611
      30	149971754	 	HD 41297           	B8Ib          	5482011113182765696	-0.26	-0.11	-        	-      	SPB                                        	HD 41297           	090.01184	-61.82800
      31	150357404	 	HD 45796           	B6V           	5477233430220256384	-0.44	-0.17	1        	F      	SPB                                        	HD 45796           	096.23249	-63.82814
      32	150442264	 	HD 46792           	B2V           	4760693797025929344	-3.24	-0.21	-        	-      	EB + puls/rot                              	HD 46792           	097.79433	-61.87954
      33	152283270	 	HD 208433          	B9.5V         	6588214059487740672	 0.25	-0.01	-        	-      	instr / binary(transit)                    	HD 208433          	329.23144	-35.35983
      34	167045028	 	HD 45527           	B9IV          	5279546835885790720	 0.01	-0.03	-        	-      	rot                                        	HD 45527           	095.51900	-69.27323
      35	167415960	 	HD 48467           	B8/9V         	5266733784509615616	 0.11	-0.08	1        	F      	const?                                     	HD 48467           	099.28993	-70.91771
      36	167523976	 	HD 49193           	B2V           	4660166788974686976	-1.48	-0.22	-        	-      	SPB                                        	HD 49193           	100.60144	-65.74263
      37	176935619	 	HD 49306           	B9.5/A0V      	5280155179351701504	 1.02	-0.05	-        	-      	instr? ({nu}_inst_~2.8d^-1^)               	HD 49306           	100.60644	-67.84310
      38	176955379	 	HD 49531           	B8/9Vn        	5279020208473101056	 0.45	-0.04	-        	-      	SPB / rot                                  	HD 49531           	100.77769	-69.29778
      39	177075997	 	HD 51557           	B7III         	5266581089830743296	-0.99	-0.15	1        	F      	instr / rot?                               	HD 51557           	102.86244	-70.96341
      40	179308923	a	HD 269382          	O9.5Ib        	4657651857940816640	-2.57	-0.05	-        	-      	SLF? / SPB?                                	HD 269382          	079.82390	-69.65399
      41	179574710	a	HD 271213          	B1Iak         	4661778810447390720	-1.47	-0.09	-        	-      	SLF                                        	HD 271213          	080.36637	-71.93865
      42	179637387	a	[OM95] LH 47-373A  	B1Ia          	4651354886129065600	-1.52	-0.10	-        	-      	SLF                                        	[OM95] LH 47-373A  	080.57186	-67.94916
      43	179639066	a	HD 269440          	B1Ib          	4658741370886084992	-2.17	-0.10	2        	F      	SLF                                        	HD 269440          	080.75276	-67.18946
      44	182909257	 	HD 6783            	Ap Si         	4635279171434162304	 0.65	-0.04	-        	-      	rot                                        	HD 6783            	016.38045	-77.58465
      45	197641601	 	HD 207971          	B8IV-Vs       	6586825380598277248	-1.97	 2.13	22       	U      	instr / rot                                	HD 207971          	328.48215	-37.36487
      46	206362352	 	HD 223145          	B3V           	5283754052709233920	-2.30	-0.22	1,3,302  	F,X,U  	SPB                                        	HD 223145          	356.81665	-50.22646
      47	206547467	 	HD 210780          	B9.5/A0       	6819470079550296960	 1.74	 0.07	-        	-      	rot / const? / SPB?                        	HD 210780          	333.28927	-21.40600
      48	207176480	 	HD 19818           	B9/A0Vn(e)    	4723685987980665088	 1.59	 0.25	3        	F      	SPB? / SLF? / Be                           	HD 19818           	047.10869	-59.37372
      49	207235278	 	HD 20784           	B9.5V         	4733510055655723392	-0.98	 0.01	-        	-      	EV / rot                                   	HD 20784           	049.60301	-55.82253
      50	220430912	 	HD 31407           	B2/3V         	6522301330997312128	-1.06	-0.25	84       	X      	EB + puls                                  	HD 31407           	073.11768	-55.69706
      51	224244458	 	HD 221507          	B9.5IIIpHgMnSi	6538585991555664128	 0.59	-0.12	3,30     	F,U    	rot + mini-outburst?                       	HD 221507          	353.24275	-37.81828
      52	229013861	 	HD 208674          	B9.5V         	6612822091790516480	 1.07	-0.04	-        	-      	rot                                        	HD 208674          	329.66009	-32.35546
      53	230981971	 	HD 10144           	B6Vpe         	                   	     	     	217,270  	F,U    	rot / SPB? / Be                            	HD 10144           	024.42852	-57.23675
      54	231122278	 	HD 29994           	B8/9V         	4656238611846958208	 0.53	 0.04	-        	-      	rot / SPB?                                 	HD 29994           	069.55501	-68.81166
      55	238194921	 	HD 24579           	B7III         	4627113682690040576	-0.35	-0.04	-        	-      	rot / SPB                                  	HD 24579           	056.63978	-76.71593
      56	259862349	 	HD 16978           	B9Va          	4695167130257150592	 0.66	-0.07	6,9,20   	F,X,U  	instr                                      	HD 16978           	039.89734	-68.26695
      57	260128701	 	HD 42918           	B4V           	5494534348761557888	-1.01	-0.25	-        	-      	SPB                                        	HD 42918           	092.40770	-59.52211
      58	260131665	 	HD 42933           	B1/2(III)n    	5499415974230271488	-3.45	-0.36	4        	F      	EB + {Beta} Cep                            	HD 42933           	092.57462	-54.96864
      59	260368525	 	HD 44937           	B9.5V         	5494983804202264192	-0.18	 0.11	-        	-      	SPB?                                       	HD 44937           	095.24120	-58.35207
      60	260540898	 	HD 46212           	B8IV          	5496276314480471040	-0.55	-0.02	-        	-      	rot?                                       	HD 46212           	097.19051	-55.91716
      61	260640910	 	HD 46860 AB        	B9IVn+A8V:p?  	5482771807727582080	-0.73	-0.08	2        	F      	SPB/Be                                     	HD 46860           	097.99296	-58.75384
      62	260820871	 	HD 218801          	B9.5V(n)      	6381543153782126464	 0.60	-0.05	-        	-      	rot / binary?                              	HD 218801          	348.05459	-70.11320
      63	261205462	 	HD 40953           	B9V           	4623532264081294464	 0.66	-0.08	1        	F      	SPB / rot                                  	HD 40953           	087.56994	-79.36136
      64	262815962	 	HD 218976 AB       	B9.5/A0V      	6500025053617700992	 1.32	-0.01	-        	-      	rot / SPB?                                 	HD 218976          	348.23321	-54.18669
      65	270070443	 	HD 198174          	B8II          	6805364208656989696	-0.31	-0.08	-        	-      	rot                                        	HD 198174          	312.32339	-25.78124
      66	270219259	 	HD 209014 AB       	B8/9V+B8/9    	6617682865193265536	-1.40	 0.23	3        	F      	instr / {Beta} Cep + outburst              	HD 209014          	330.20927	-28.45374
      67	270557257	 	HD 49835           	B9.5V         	5211969859107211136	 1.40	 0.14	-        	-      	instr ({nu}_inst_~2.8d^-1^)                	HD 49835           	099.90896	-78.44044
      68	270622440	 	HD 224112          	B8V           	2314214110928211712	-0.08	-0.10	3        	F      	EB (contamination!)                        	HD 224112          	358.81954	-31.88427
      69	270622446	 	HD 224113          	B5/8          	2314213698611350144	-0.78	-0.12	36,18    	F,X    	EB                                         	HD 224113          	358.81911	-31.92148
      70	271503441	 	HD 2884 AB         	B8/A0         	4900927434176620160	 1.12	-0.08	11       	F      	SPB? / outburst?                           	HD 2884            	007.88612	-62.95822
      71	271971626	 	HD 62153 AB        	B9IV          	5214590201474858624	-0.01	-0.01	-        	-      	rot                                        	HD 62153           	113.84023	-74.27495
      72	276864600	a	HD 269777          	B3Ia          	4661270350708775296	-1.90	-0.05	5        	F      	SLF                                        	HD 269777          	083.57692	-67.30381
      73	277022505	a	HD 269786          	B1I           	4657274283151403520	-3.66	 0.00	-        	-      	SLF                                        	HD 269786          	083.76501	-69.75056
      74	277022967	a	HD 37836           	B0e(q)        	4657280639705552768	-4.54	 0.34	12,70    	F,X    	rot / SPB?/ SLF?/ Be                       	HD 37836           	083.81930	-69.67734
      75	277099925	a	HD 269845          	B2.5Ia        	4661439439319405184	-2.67	-0.04	-        	-      	SLF                                        	HD 269845          	083.98653	-67.45960
      76	277103567	a	HD 37935           	B9.5V         	4660284883361750912	-0.48	-0.04	2,30     	F,X    	rot / EV?                                  	HD 37935           	084.22908	-66.56029
      77	277172980	a	HD 37974           	B0.5e         	4657658356271368064	-4.36	 0.51	11,6     	F,X    	SLF? / Be                                  	HD 37974           	084.10772	-69.38216
      78	277173650	a	HD 269859          	B1Ia          	4658882353222625920	-3.23	-0.16	40       	X      	SLF / instr?                               	HD 269859          	084.19661	-69.49780
      79	277298891	a	Sk-69 237          	B1Ia          	4657679659311713024	-1.39	 0.39	1        	F      	SLF                                        	Sk-69 237          	084.50529	-69.37057
      80	277982164	 	HD 54239           	B9.5/A0III/IV 	5211241295215037696	-0.01	 0.16	36       	U      	rot / SPB                                  	HD 54239           	104.14364	-79.42019
      81	278683664	 	HD 47770           	B9.5V         	5484286625513030016	 0.76	 0.04	-        	-      	const??                                    	HD 47770           	099.16749	-58.40888
      82	278865766	 	HD 48971           	B9V           	5496814662861807360	 0.46	-0.02	-        	-      	const??                                    	HD 48971           	100.71139	-56.01607
      83	278867172	 	HD 49111           	B9.5V         	5497973449334379904	 0.96	-0.04	-        	-      	const??                                    	HD 49111           	100.96246	-54.18205
      84	279430029	 	HD 53048           	B5/7Vn(e)     	5484134029618653952	-1.97	-0.02	-        	-      	rot / Be                                   	HD 53048           	105.04330	-56.90700
      85	279511712	 	HD 53921 AB        	B9III+B8V     	5480486644608749696	-0.12	-0.17	-        	-      	rot                                        	HD 53921           	105.81291	-59.17811
      86	279957111	 	HD 269582          	WN10h         	4658481718680657792	-3.51	 0.33	211      	X      	rot                                        	HD 269582          	081.96943	-68.98569
      87	280051467	 	HD 19400 AB        	B8III/IV      	4645479443883933824	-0.45	-0.16	1,238    	F,U    	rot                                        	HD 19400           	045.56437	-71.90246
      88	280684074	 	HD 215573          	B6V           	6351882320090933248	-0.70	-0.19	1,8      	F,U    	SPB                                        	HD 215573          	342.59506	-80.12384
      89	281703963	 	HD 4150 A          	A0IV          	4908022136034353152	-0.12	 0.02	1        	F      	hybrid SPB/{delta} Sct                     	WDS J00434-5728A   	010.83838	-57.46306
      90	281741629	 	CD-56 152          	Be            	4908668373993964032	-3.05	-0.23	2,6      	F,U    	rot / Be                                   	CD-56 152          	012.25544	-56.09704
      91	293268667	 	HD 47478           	B9V           	5477090356269215616	 0.60	-0.08	-        	-      	SPB/ rot?                                  	HD 47478           	098.56016	-63.91811
      92	293973218	 	HD 54967           	B4V           	5478303942228108288	-2.08	-0.21	-        	-      	rot / SPB                                  	HD 54967           	106.81781	-59.71642
      93	294747615	 	HD 30612           	B8II/III(pSi) 	4654833539071572736	-0.33	-0.15	1        	F      	rot / SLF?                                 	HD 30612           	070.76652	-70.93103
      94	294872353	 	HD 270754          	B1.5Ia        	4657655435693905408	-4.36	-0.02	1,20     	F,U    	SLF?                                       	HD 270754          	071.76855	-67.11476
      95	300010961	 	HD 55478           	B8III         	5280667689208638976	 0.00	-0.14	-        	-      	rot / {Beta} Cep?                          	HD 55478           	106.94569	-67.93686
      96	300325379	 	HD 58916           	B1.5Ia        	5281254278662916736	 0.41	 0.01	-        	-      	rot?                                       	HD 58916           	110.70542	-66.53885
      97	300329728	 	HD 59426           	B9V           	5267524573886888320	 0.72	 0.05	-        	-      	rot                                        	HD 59426           	110.96647	-70.77259
      98	300744369	 	HD 63928           	B9V           	5270696836731782144	 1.08	 0.01	-        	-      	rot                                        	HD 63928           	116.50272	-69.49798
      99	300865934	 	HD 64484           	B9V           	5275049837626917504	 0.04	-0.06	-        	-      	instr / outburst?                          	HD 64484           	117.42080	-66.19597
     100	306672432	 	HD 67252           	B8/9V         	5271283391825477248	 0.76	-0.01	-        	-      	const? / rot?                              	HD 67252           	120.59293	-67.79489
     101	306824672	 	HD 68221           	B9V           	5270992635422817792	 0.05	 0.04	-        	-      	rot? / SPB?                                	HD 68221           	121.64756	-68.61739
     102	306829961	 	HD 68520 AB        	B5III         	5270986008289935232	-2.44	-0.15	-        	-      	SPB                                        	HD 68520           	121.98248	-68.61706
     103	307291308	 	HD 71066           	B9/A0IV       	5221286296008492416	 0.06	-0.13	13       	U      	instr / rot?                               	HD 71066           	125.00220	-71.50538
     104	307291318	 	HD 71046 AB        	B9III/IV      	5221286158569529344	-0.17	-0.09	-        	-      	instr / rot?                               	HD 71046           	124.95402	-71.51491
     105	307993483	 	HD 73990           	B7/8V         	5221605085661325056	 0.40	-0.07	-        	-      	{Beta} Cep? / SPB                          	HD 73990           	129.08624	-70.67666
     106	308395911	 	HD 66591           	B4V           	5479669466951012224	-1.33	-0.15	2        	F      	SPB                                        	HD 66591           	120.08319	-63.56746
     107	308454245	 	HD 67420           	B9V           	5275660856854591360	 0.39	 0.07	-        	-      	{delta} Sct                                	HD 67420           	120.95821	-64.62917
     108	308456810	 	HD 67170           	B8III/IV      	5289613208437434240	 0.05	 0.04	-        	-      	rot?                                       	HD 67170           	120.78139	-62.13281
     109	308537791	 	HD 67277           	B8III         	5290024533163062144	 0.18	-0.01	-        	-      	rot                                        	HD 67277           	120.92351	-60.90756
     110	308748912	 	HD 68423           	B6V           	5277219758184463488	-0.74	-0.06	-        	-      	SLF? / outburst? / instr                   	HD 68423           	122.10267	-63.80082
     111	309702035	a	HD 271163          	B3Ia          	4660142634076536320	-3.61	-0.03	-        	-      	SLF                                        	HD 271163          	079.71561	-65.68956
     112	313934087	 	HD 224990          	B3/5V         	2320885329010329216	-1.32	-0.19	4,18     	F,X    	SPB / rot                                  	HD 224990          	000.58303	-29.72044
     113	327856894	 	HD 225253          	B8IV/V        	4701860922688030720	-0.80	-0.14	3,109    	F,U    	rot? / outburst?/ instr?                   	HD 225253          	001.17212	-71.43689
     114	349829477	 	HD 61267           	B9/A0IV       	5292390815325246976	 1.07	 0.09	-        	-      	const?                                     	HD 61267           	113.67648	-61.08280
     115	349907707	 	HD 61644           	B5/6IV        	5289291395127135360	-0.35	 0.23	-        	-      	EB + puls                                  	HD 61644           	114.10522	-61.87385
     116	350146577	 	HD 63204           	ApSi          	5288156497263051136	 0.65	-0.03	-        	-      	rot                                        	HD 63204           	115.90400	-63.39919
     117	350823719	 	HD 41037           	B3V           	5275962500997316864	-0.88	-0.23	5,6      	F,U    	SPB? / rot                                 	HD 41037           	089.74623	-58.26882
     118	354671857	 	HD 14228           	B8IV          	4936685751335824896	 0.15	 3.16	10,79    	F,U    	SPB? / rot                                 	HD 14228           	034.12744	-51.51217
     119	355141264	 	HD 208495          	B9.5V         	6561093750492347136	 1.30	-0.03	-        	-      	const?                                     	HD 208495          	329.46321	-47.54685
     120	355477670	 	HD 220802          	B9V           	6525840590207613824	 0.34	-0.09	8        	F      	const?                                     	HD 220802          	351.78795	-50.15724
     121	355653322	 	HD 224686          	B8V           	6485326438580933888	-0.74	-0.07	52       	F      	rot? / outburst? / instr?                  	HD 224686          	359.97907	-65.57713
     122	358232450	 	HD 6882 A          	B6V+B9V       	4913847589156808960	 0.10	-0.18	24,33    	F,U    	EB                                         	WDS J01084-5515AB  	017.09617	-55.24576
     123	358466708	 	CD-60 1931         	B7            	5290739387520374912	-0.04	-0.01	-        	-      	rot / SPB                                  	CD-60 1931         	119.22784	-60.59847
     124	358467049	 	CPD-60 944 AB      	B8pSi         	5290722929205920640	 0.18	 0.06	-        	-      	rot                                        	CPD-60 944         	119.18794	-60.81508
     125	358467087	 	CD-60 1929         	B8.5IV        	5290722860486442752	 0.36	 0.13	-        	-      	SPB / EV? / rot? /SLF?/ instr?             	CD-60 1929         	119.19665	-60.84085
     126	364323837	 	HD 40031           	B6III         	4758153203612698624	-1.44	-0.13	4        	F      	rot? / SPB?                                	HD 40031           	088.00096	-62.51775
     127	364398190	 	CD-60 1978         	B8.5IV-V      	5290816009737675392	 0.64	 0.05	-        	-      	rot? / SLF?                                	CD-60 1978         	119.62806	-60.72906
     128	364398342	 	HD 66194           	B3Vn          	4776318613169946624	-2.36	-0.33	97       	U      	rot? / SPB? / Be                           	HD 66194           	119.71063	-60.82446
     129	364421326	 	HD 66109           	B9.5V         	5287999576341359360	-0.18	 0.08	-        	-      	rot?                                       	HD 66109           	119.57302	-63.13157
     130	369457005	 	HD 197630          	B8/9V         	6681797793393053696	 0.44	-0.11	1,15     	F,U    	rot / SPB?                                 	HD 197630          	311.58362	-39.19927
     131	370038084	 	HD 26109           	B9.5/A0V      	4666380781970681472	 1.65	 0.19	-        	-      	const?                                     	HD 26109           	060.60598	-70.27213
     132	372913233	 	HD 65950           	B8III         	5290671733195996416	-1.20	 0.06	5        	F      	const? / outburst? / instr?                	HD 65950           	119.43841	-60.92646
     133	372913582	 	CD-60 1954         	B9.5V         	5290725643625189504	 0.29	 0.11	-        	-      	const? / outburst? / instr?                	CD-60 1954         	119.45490	-60.68364
     134	372913684	 	HD 65987           	B9.5IVpSi     	5290820682661822848	-0.67	-0.02	-        	-      	rot                                        	HD 65987           	119.51213	-60.61479
     135	373843852	a	HD 269525          	B0I           	4658678973606061696	-2.39	-0.32	-        	-      	SPB? / rot?                                	HD 269525          	081.56341	-67.49997
     136	389921913	a	HD 270196          	B1.5Ia        	4662413606586588160	-2.83	 0.09	1,8      	F,U    	SLF                                        	HD 270196          	087.83658	-70.28592
     137	391810734	a	HD 269655          	B0Ia          	4661289630893455488	-2.51	-0.11	2        	F      	SLF                                        	HD 269655          	082.65770	-68.41089
     138	391887875	a	HD 269660          	B2Ia          	4657362548954664192	-3.36	-0.14	-        	-      	SLF                                        	HD 269660          	082.69906	-71.06731
     139	404768847	a	VFTS 533           	B0Ia          	4651835308326981504	-1.95	-0.06	-        	-      	SPB? / SLF?                                	VFTS 533           	084.67807	-69.09517
     140	404768956	a	Cl* NGC 2070 Mel 12	B0.5Ia        	4658479691454645504	-2.91	 0.03	-        	-      	SLF? / SPB? / instr?                       	Cl* NGC 2070 Mel 12	084.69044	-69.10624
     141	404796860	a	HD 269920          	B3Ia          	4657652476416109184	-3.84	 0.04	-        	-      	SLF                                        	HD 269920          	084.67706	-69.38587
