#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:52 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/163/226&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51630226
#Name: J/AJ/163/226
#Title: Classifying Be Star Variability with TESS I. (Labadie-Bartz+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/aj/163/226	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/163/226	    IVOID of underlying data collection
#INFO	creator=Labadie-Bartz J.	    First author or institution
#INFO	cites=bibcode:2022AJ....163..226L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/163/226	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51630226	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_163_226_table2:
#Name: J/AJ/163/226/table2
#Title: Table of full (including the non-Be stars)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	TIC	(I10)	Input Catalog identifier	[ucd=meta.id;meta.table]
#Column	OName	(a19)	Common name	[ucd=meta.id;meta.main]
#Column	SpT	(a10)	Spectral type, BeSS database	[ucd=src.spType]
#Column	q	(I1)	[0/1] Data quality (1)	[ucd=meta.code.qual]
#Column	Be	(A1)	Be type (2)	[ucd=src.class]
#Column	signals	(a13)	Signals (3)	[ucd=meta.code]
#Column	Ns	(I1)	[0/8]? Number of group identified in light curve	[ucd=meta.number]
#Column	tgs	(A1)	Typical groups (4)	[ucd=meta.code]
#Column	fg1	(F5.2)	[0/3.28]? Central frequency of g1	[ucd=em.freq]
#Column	fg2	(F5.2)	[0.8/6.53]? Central frequency of g2	[ucd=em.freq]
#Column	gratio	(A4)	Stronger group?	[ucd=meta.code]
#Column	Tmag	(F5.2)	[4.05/12.73] TESS Magnitude	[ucd=phot.mag;em.opt.I]
#Column	contratio	(F7.4)	[0.0001/14.7] Contamination ratio (5)	[ucd=meta.code]
#Column	RAJ2000	(F16.12)	[0.93/360] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	[-80.2/18.6] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SectorsC1	(a29)	TESS Sectors, C1	[ucd=obs.field]
#Column	SectorsC3	(a32)	TESS Sectors, C3	[ucd=obs.field]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	TIC	OName	SpT	q	Be	signals	Ns	tgs	fg1	fg2	gratio	Tmag	contratio	RAJ2000	DEJ2000	SectorsC1	SectorsC3	Simbad
      19	  22688271	HD 162568          	B2IIIne   	1	Y	G            	4	Y	 2.12	 4.09	g1  	 8.15	 0.3179	268.414930000000	-42.89751000000	13                           	39                              	Simbad
      20	  22825907	HD 148877          	B6Ve      	1	U	             	 	 	     	     	    	 7.88	 0.0661	248.413360000000	-51.26262000000	12                           	39                              	Simbad
      21	  23037766	NV Pup             	B2Ve      	1	Y	G            	4	Y	 1.04	 2.06	g2  	 4.64	 0.0014	109.576625000000	-36.73395277780	7                            	33-34                           	Simbad
      22	  23091719	NW Pup             	B2IVne    	1	U	             	 	 	     	     	    	 5.30	 0.0065	109.659125000000	-36.74273611110	7                            	33-34                           	Simbad
      23	  23321922	HD 163007          	B4Vne     	1	Y	G            	2	Y	 0.55	 1.10	g1  	 7.37	 0.0312	269.055790000000	-46.70213000000	13                           	39                              	Simbad
      24	  25256180	V728 Mon           	B1.5IVe   	1	Y	S/L/G        	3	Y	 1.61	 3.23	g1  	 7.41	 0.0335	098.180170000000	-07.50899000000	6                            	                                	Simbad
      25	  25883580	HD 330950          	B1Ve      	1	Y	S/L/F+/G     	3	Y	 1.05	 2.18	sim.	 9.15	 0.2054	248.681460000000	-49.55264000000	12                           	39                              	Simbad
      26	  26175330	17 Sex             	A1Ve      	1	U	             	 	 	     	     	    	 5.85	 0.0001	152.531416667000	-08.40816666667	8                            	35                              	Simbad
      27	  26311013	HD 149128          	B7Ve      	0	 	             	 	 	     	     	    	 9.19	 0.2512	248.847250000000	-52.25222000000	12                           	39                              	Simbad
      28	  28885389	HD 149298          	B2IIe     	1	Y	L/F+/G       	3	Y	 1.16	 2.44	sim.	 8.91	 0.1443	249.049100000000	-49.26318000000	12                           	39                              	Simbad
      29	  29051733	CD-46 4657         	A1IIe     	1	Y	S/G          	5	Y	 1.33	 2.80	g1  	 9.98	 0.1758	132.609440000000	-46.58458000000	8-9                          	35-36                           	Simbad
      30	  29122883	GW Vel             	B2Vne     	1	Y	S/L/F+/G     	3	Y	 2.39	 3.61	g1  	 9.53	 0.0692	132.649150000000	-45.54896000000	8-9                          	35-36                           	Simbad
      31	  29628522	IY CMa             	B3Ve      	1	Y	G            	4	Y	 1.73	 3.54	sim.	 6.09	 1.3457	097.163500000000	-32.37127777780	6-7                          	33                              	Simbad
      32	  29690468	CD-45 4676         	B0.5IIIe  	1	Y	S/I+/L/H/G   	3	Y	 0.74	 1.44	sim.	 7.97	 0.1243	133.341720000000	-46.03575000000	8-9                          	35-36                           	Simbad
      33	  29786229	HD 57551           	B8IIIe    	1	Y	G            	2	Y	 0.71	 1.83	g2  	 9.79	 0.0186	109.997440000000	-40.49491000000	7-8                          	33-34                           	Simbad
      34	  30051402	OU Vel             	B2Vne     	1	Y	H/G          	5	Y	 2.64	 5.21	g2  	 8.07	 0.3234	133.786140000000	-43.46656000000	8-9                          	35-36                           	Simbad
      35	  30444949	V958 Cen           	B5Ve      	1	Y	G            	3	Y	 1.25	 2.25	g2  	 6.95	 0.0088	198.669530000000	-38.65158000000	11                           	37                              	Simbad
      36	  30562668	HD 76838           	B2IVe     	1	N	             	 	 	     	     	    	 7.31	 0.1177	134.281560000000	-43.25616000000	8-9                          	35-36                           	Simbad
      37	  31062736	IU Vel             	B2.5Vne   	1	Y	G            	3	Y	 1.59	 3.15	g1  	 6.21	 0.0028	135.092770000000	-43.17397000000	8-9                          	35-36                           	Simbad
      38	  31071126	CD-46 4821         	Be        	1	Y	I+/G         	3	Y	 2.31	 4.80	sim.	 8.73	 0.0441	135.058590000000	-46.68569000000	8-9                          	35-36                           	Simbad
      39	  31449841	HD 149610          	B5Ve      	1	Y	G            	3	Y	 2.26	 4.59	g1  	 9.01	 0.4982	249.545860000000	-48.21988000000	12                           	39                              	Simbad
      40	  31753296	HD 160648          	B6IIIe    	0	 	             	 	 	     	     	    	 7.55	 0.0574	265.851190000000	-46.58796000000	                             	39                              	Simbad
      41	  32667467	HD 51452           	B0IVe     	1	Y	S            	0	N	     	     	    	 7.91	 0.0447	104.335910000000	-04.19375000000	6                            	33                              	Simbad
      42	  33287617	HD 53032           	A2e       	1	Y	G            	3	Y	 0.77	 1.61	g1  	 9.39	 0.0192	105.848450000000	-02.74404000000	7                            	33                              	Simbad
      43	  33362448	V749 Mon           	B4IVe     	1	Y	G            	3	Y	 2.45	 4.90	g1  	 7.41	 0.0170	105.904910000000	-02.47418000000	7                            	33                              	Simbad
      44	  33993533	HD 43544           	B2.5Ve    	1	Y	G            	4	Y	 2.12	 4.10	g2  	 6.04	 0.0009	094.032041666700	-16.61800555560	6                            	33                              	Simbad
      45	  35311214	HD 149729          	B2Vne     	1	Y	S/L/F+/G     	3	Y	 2.33	 4.50	g2  	 9.08	 0.2164	249.848240000000	-52.53593000000	12                           	39                              	Simbad
      46	  35735021	HD 149814          	B6IVe     	1	Y	I            	0	N	     	     	    	 8.90	 0.1343	249.958460000000	-52.12105000000	12                           	39                              	Simbad
      47	  38118168	HD 78482           	B8Ve      	1	Y	G            	2	N	     	     	    	 9.57	 0.0184	136.924420000000	-29.00331000000	8                            	35                              	Simbad
      48	  42753726	CW Cir             	B0.5Vne   	1	Y	S/L/F/G      	2	N	     	     	    	 7.51	 0.0314	228.817420000000	-58.17288000000	12                           	38                              	Simbad
      49	  42889751	HD 45626           	B7pshe    	1	Y	G            	5	Y	 0.85	 1.70	g1  	 9.14	 0.2186	097.094100000000	-04.46214000000	6                            	33                              	Simbad
      50	  43708176	HD 135354          	B8Vne     	1	Y	G            	2	Y	 2.18	 4.31	g1  	 9.12	 0.2802	229.287820000000	-57.02890000000	12                           	38                              	Simbad
      51	  46028220	f Car              	B3Vne     	1	Y	G            	3	Y	 1.95	 3.53	sim.	 4.72	 0.0091	131.677291667000	-56.76977500000	8-9-10                       	35-36-37                        	Simbad
      52	  46211527	HD 136250          	B7Vne     	1	Y	I/H/G        	2	Y	 2.50	 4.99	g1  	10.08	 0.2857	230.506260000000	-55.23843000000	12                           	38                              	Simbad
      53	  46226875	HD 75661           	B2Vne     	1	Y	S/L/F+/G     	2	Y	 2.03	 3.46	g2  	 8.76	 0.0300	132.225100000000	-54.27296000000	8-9-10                       	35-36                           	Simbad
      54	  46705199	gam Cir            	B5IVe     	1	Y	L/G          	4	Y	 2.30	 4.37	sim.	 4.25	 0.0163	230.844333333000	-59.32078055560	12                           	38-39                           	Simbad
      55	  47296054	eps PsA            	B8Ve      	1	Y	G            	2	Y	 0.84	 1.64	sim.	 4.26	 0.0003	340.163916667000	-27.04361666670	2                            	28                              	Simbad
      56	  51033628	HD 72043           	B8e       	1	Y	I/H/G        	2	Y	 2.12	 4.18	g1  	 8.41	 0.0274	127.585290000000	-10.61622000000	7-8                          	34                              	Simbad
      57	  51288359	HD 151083          	B2Vne     	1	S	S/I/H        	0	N	     	     	    	 8.61	 0.1148	251.964190000000	-51.76774000000	12                           	39                              	Simbad
      58	  52638345	10 CMa             	B2IIIe    	1	Y	L/F+/G       	4	Y	 0.61	 1.31	sim.	 5.12	 0.0028	101.118625000000	-31.07052500000	6-7                          	33                              	Simbad
      59	  52665242	HD 47054           	B7IIIe    	1	Y	G            	2	Y	 1.14	 2.30	sim.	 5.58	 0.0039	099.147208333300	-05.21114166667	6                            	33                              	Simbad
      60	  52686322	HP CMa             	B2IIIe    	1	Y	L/G          	3	Y	 1.30	 2.37	sim.	 5.31	 0.0577	101.379958333000	-30.94898055560	6-7                          	33                              	Simbad
      61	  52748770	HD 47160           	B8IVe     	1	Y	G            	1	N	     	     	    	 7.14	 0.0307	099.273930000000	-02.17903000000	6                            	33                              	Simbad
      62	  52929072	HD 71042           	B2.5ne    	1	Y	L/F+/G       	4	Y	 1.27	 2.63	g1  	 9.31	 0.0492	125.845430000000	-45.75304000000	8-9                          	34-35                           	Simbad
      63	  53063082	HZ CMa             	B6Vnpe    	1	N	             	 	 	     	     	    	 5.37	 0.1104	102.597291667000	-31.70605833330	6-7                          	33-34                           	Simbad
      64	  53301259	CD-44 4392         	B2IVe     	1	Y	L/F+/G       	3	Y	 1.84	 3.42	g1  	 9.01	 0.1190	126.324170000000	-45.16262000000	8-9                          	34-35                           	Simbad
      65	  53327951	V733 Mon           	B2Vpe     	1	Y	L/G          	1	N	     	     	    	 8.53	 0.0213	100.006590000000	-04.69874000000	6                            	33                              	Simbad
      66	  53992511	UU PsA             	B4IVne    	1	Y	G            	5	Y	 1.50	 3.09	g2  	 6.13	 0.0001	331.153208333000	-26.82236111110	1                            	28                              	Simbad
      67	  55295028	HD 33599           	B2Vpe     	1	Y	I/G          	3	Y	 0.86	 1.80	g1  	 9.21	 0.0128	076.803850000000	-61.80512000000	1-2-3-4-5-6-7-8-9-10-11-12-13	27-28-29-30-31-32-33-34-35-36-37	Simbad
      68	  56179720	56 Eri             	B2Ve      	1	Y	G            	3	Y	 0.73	 1.46	g2  	 6.05	 0.0004	071.022166666700	-08.50356666667	5                            	32                              	Simbad
      69	  56447057	HD 151743          	B8IVe     	1	Y	G            	3	Y	 1.77	 3.55	g1  	 9.37	 0.0757	253.014040000000	-53.82939000000	12                           	39                              	Simbad
      70	  61566852	HD 179253          	B7Ve      	0	 	             	 	 	     	     	    	 9.87	 0.0395	288.434120000000	-42.41339000000	13                           	27                              	Simbad
      71	  61678783	HD 56670           	B0.5Ve    	1	Y	L/G          	4	Y	 0.88	 1.77	g1  	 9.35	 0.0180	109.401640000000	-09.41444000000	7                            	33                              	Simbad
      72	  65672662	V763 Mon           	B5e       	1	Y	S/I/L/H/G    	4	Y	 1.93	 3.87	sim.	 8.00	 0.0056	113.990790000000	-03.36828000000	7                            	34                              	Simbad
      73	  65803653	27 CMa             	B3IIIe    	1	Y	I/H/G        	3	Y	 1.33	 2.71	g1  	 4.72	 0.0019	108.563375000000	-26.35250833330	7                            	33-34                           	Simbad
      74	  65903024	ome CMa            	B2IVe     	1	Y	L/G          	5	Y	 0.62	 1.26	g1  	 4.05	 0.0019	108.702708333000	-26.77266944440	7                            	33-34                           	Simbad
      75	  68003064	HD 62367           	B9e       	1	Y	             	0	N	 0.00	     	    	 7.27	 0.0162	115.883890000000	-04.68065000000	7                            	34                              	Simbad
      76	  70966650	HD 140336          	B1:IIInne 	1	Y	G            	3	Y	 1.67	 3.84	g1  	 9.27	 0.5002	236.512950000000	-58.95244000000	12                           	39                              	Simbad
      77	  71132174	228 Eri            	B2Vne     	1	Y	L/F+/G       	5	Y	 1.38	 2.80	g1  	 5.48	 0.0002	067.278875000000	-13.04836666670	5                            	32                              	Simbad
      78	  71727949	V696 Mon           	B2Vne     	1	Y	S/G          	3	N	     	     	    	 5.21	 0.0005	091.056250000000	-06.70893888889	6                            	33                              	Simbad
      79	  73039225	V695 Mon           	B2.5Ve    	1	Y	G            	4	Y	 1.13	 2.25	g2  	 6.52	 0.0011	120.183880000000	-02.88191000000	7                            	34                              	Simbad
      80	  73759997	V864 Ara           	B7Vnnpe   	1	Y	S/L/F+/G     	2	N	     	     	    	 6.51	 0.0053	263.297330000000	-58.55751000000	12                           	39                              	Simbad
      81	  75047606	HD 79621           	B9Ve      	1	Y	G            	2	Y	 1.65	 3.36	sim.	 5.95	 0.0029	138.393541667000	-47.33840555560	8-9                          	35-36                           	Simbad
      82	  75210369	HD 79811           	B5Ve      	1	Y	G            	2	Y	 1.83	 3.68	g1  	 9.04	 0.1939	138.660930000000	-45.57603000000	8-9                          	35-36                           	Simbad
      83	  75581184	HD 80156           	B8.5IVe   	1	Y	I/H/V/G      	5	Y	 2.69	 5.42	g1  	 8.75	 0.0159	139.165480000000	-44.43460000000	8-9                          	35-36                           	Simbad
      84	  75708438	HD 140883          	B6Vnne    	1	Y	S/G          	2	N	     	     	    	 9.76	 0.0787	237.173260000000	-54.86311000000	12                           	39                              	Simbad
      85	  76336597	QQ Vel             	B5nne     	1	Y	L/G          	3	Y	 0.90	 2.11	sim.	 9.35	 0.0165	140.175490000000	-42.17851000000	8-9                          	35-36                           	Simbad
      86	  76556351	HD 140843          	B5IIIe    	1	Y	G            	3	Y	 0.70	 1.29	g1  	 8.15	 0.0741	237.161080000000	-57.10397000000	12                           	39                              	Simbad
      87	  80719034	HD 67985           	B8Vne     	1	Y	I/H/V/G      	2	?	 2.98	 5.96	g2  	 8.90	 0.1018	122.091170000000	-47.15797000000	7-8-9                        	34-35                           	Simbad
      88	  80899869	HD 67978           	B2Vnne    	1	Y	S/L/F+/G     	4	Y	 1.53	 2.72	g2  	 8.76	 0.0155	122.173090000000	-42.05634000000	7-8                          	34-35                           	Simbad
      89	  81584371	FV CMa             	B2Vnne    	1	Y	L/G          	3	Y	 0.77	 1.52	g1  	 6.05	 0.0082	106.844125000000	-23.84071944440	7                            	33-34                           	Simbad
      90	  81615536	HD 69168           	B2Ve      	1	Y	I/L/G        	3	N	     	     	    	 6.62	 0.0050	123.440200000000	-46.57868000000	8-9                          	34-35                           	Simbad
      91	  81859368	HD 69404           	B2Vnne    	1	Y	I/H/G        	3	Y	 2.19	 4.48	g1  	 6.55	 0.0210	123.713530000000	-46.48584000000	8-9                          	34-35                           	Simbad
      92	  82370215	HD 70064           	B5Ve      	1	Y	G            	2	N	     	     	    	10.15	 0.0889	124.511740000000	-45.64217000000	8-9                          	34-35                           	Simbad
      93	  84513533	HD 141926          	B2nne     	1	Y	G            	3	Y	 1.12	 2.34	g1  	 7.96	 0.3566	238.590920000000	-55.32899000000	12                           	39                              	Simbad
      94	  85001695	V1063 Sco          	B4IIIe    	1	Y	G            	3	Y	 1.99	 3.99	g1  	 7.68	 0.0488	250.176930000000	-41.12698000000	12                           	39                              	Simbad
      95	  89593655	HD 142237          	B2Vne     	1	Y	G            	5	Y	 1.61	 3.21	g1  	 8.61	 0.2343	239.024870000000	-54.95264000000	12                           	39                              	Simbad
      96	  90296023	FY Vel             	B2IIpshe  	1	N	             	 	 	     	     	    	 6.58	 0.0071	128.097320000000	-49.60138000000	8-9                          	35                              	Simbad
      97	  90836305	HD 142349          	B5IVe     	1	Y	L/F+/G       	3	Y	 1.53	 3.15	sim.	 8.55	 0.2181	239.281510000000	-57.58022000000	12                           	39                              	Simbad
      98	  91689592	BD+12 938          	none      	1	Y	G            	3	Y	 2.23	 4.61	g2  	10.30	 0.0536	088.504506000000	+12.68427400000	6                            	33                              	Simbad
      99	 111384365	NO CMa             	B5IIIne   	0	 	             	 	 	     	     	    	 5.57	 0.0055	110.752916667000	-31.92378055560	7                            	34                              	Simbad
     100	 112679272	HD 163435          	B9IIIe    	1	Y	S/G          	2	Y	 1.62	 3.20	sim.	 9.33	 0.1099	269.518720000000	-41.52948000000	13                           	39                              	Simbad
     101	 118842700	QV Tel             	B3IIIpe   	1	Y	S/L          	0	N	     	     	    	 5.32	 0.0034	274.281375000000	-56.02335277780	13                           	39                              	Simbad
     102	 121345684	V848 Ara           	B2IVe     	1	Y	S/L/F/G      	3	Y	 1.10	 2.20	g1  	 7.86	 0.0104	254.736750000000	-46.12899000000	12                           	39                              	Simbad
     103	 121689850	HD 153199          	B2.5Ve    	1	Y	L/G          	3	Y	 0.87	 1.65	g2  	 7.88	 0.0093	254.987160000000	-43.22079000000	12                           	39                              	Simbad
     104	 121905577	HD 153295          	B2e       	1	Y	I/H/G        	3	Y	 0.98	 1.76	g1  	 8.13	 0.0344	255.105180000000	-42.31675000000	12                           	39                              	Simbad
     105	 123036723	HD 60794           	B4IIIe    	1	Y	G            	6	Y	 2.35	 4.75	g1  	 8.79	 0.0162	113.528620000000	-46.64378000000	7-8                          	34-35                           	Simbad
     106	 123545883	V743 Mon           	B7IIIe    	1	N	             	 	 	     	     	    	 6.28	 0.0189	102.889196000000	-06.96644900000	6                            	33                              	Simbad
     107	 123828144	HD 62894           	B8e       	1	Y	I/H/V/G      	1	N	     	     	    	 9.46	 1.0362	116.064790000000	-43.01787000000	7-8                          	34-35                           	Simbad
     108	 124328133	HD 51404           	B1.5Ve    	1	Y	G            	3	Y	 2.58	 5.24	g1  	 9.47	 0.3554	104.255940000000	-06.21823000000	6-7                          	33                              	Simbad
     109	 124407255	V747 Mon           	B3Ve      	1	Y	G            	4	Y	 1.49	 2.85	g1  	 8.15	 0.0104	104.289483000000	-08.54193500000	6-7                          	33                              	Simbad
     110	 124921846	HD 44506           	B1.5Ve    	1	Y	L/G          	4	Y	 0.78	 1.63	g2  	 5.72	 0.0034	095.151000000000	-34.14414444440	6-7                          	33                              	Simbad
     111	 125221242	HD 154170          	B9IIIe    	0	 	             	 	 	     	     	    	 9.38	 0.1016	256.543560000000	-47.41961000000	12                           	39                              	Simbad
     112	 125406140	BD-06 1895         	Be        	1	Y	S/I          	0	N	     	     	    	 9.81	 0.0448	105.556970000000	-06.30245000000	7                            	33                              	Simbad
     113	 125759847	HD 154314          	B9IIIe    	1	Y	I/L/H/G      	3	Y	 2.43	 4.85	g1  	 9.93	 0.2866	256.727960000000	-44.73369000000	12                           	39                              	Simbad
     114	 126125347	HD 134484          	B9IIIe    	1	Y	G            	1	Y	 0.92	 1.74	g2  	 8.23	 0.0539	228.081290000000	-53.65803000000	12                           	38                              	Simbad
     115	 126460390	HD 134671          	B7Ve      	1	Y	             	0	N	 0.00	     	    	 9.57	 0.1455	228.258410000000	-50.73509000000	12                           	38                              	Simbad
     116	 126899506	HD 298298          	B0e       	1	Y	G            	4	Y	 1.22	 2.39	sim.	 8.81	 0.0224	137.114410000000	-52.57775000000	8                            	35-36                           	Simbad
     117	 127493611	omi Pup            	B1IVnne   	1	Y	S/I/L/H      	0	N	     	     	    	 4.43	 0.0037	117.021541667000	-25.93716944440	7                            	34                              	Simbad
     118	 131104893	HD 63988           	B8Ve      	1	Y	G            	3	Y	 0.61	 1.44	g2  	 7.08	 0.0068	117.467580000000	-40.91447000000	7-8                          	34-35                           	Simbad
