#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/640/A36&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36400036
#Name: J/A+A/640/A36
#Title: OB stars TESS phot. & high-resolution spectroscopy (Bowman+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/640/a36	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/640/a36	    IVOID of underlying data collection
#INFO	creator=Bowman D.M.	    First author or institution
#INFO	cites=bibcode:2020A&A...640A..36B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/640/A36	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36400036	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_640_A36_tablea1:
#Name: J/A+A/640/A36/tablea1
#Title: Parameters of OB stars studied in this work
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cat	(I1)	[1/9] Category (G1)	[ucd=meta.code]
#Column	Name	(a11)	Common name	[ucd=meta.id;meta.main]
#Column	TIC	(I9)	TIC number	[ucd=meta.id]
#Column	SpType	(a15)	Spectral type	[ucd=src.spType]
#Column	logTeff	(F5.2)	Effective temperature (typical uncertainty 0.03dex)	[ucd=phys.temperature.effective]
#Column	logLs	(F5.2)	Spectroscopic luminosity (where Ls=Teff^4^/g) (typical uncertainty 0.15dex)	[ucd=stat.fit.param]
#Column	vsini	(I3)	Projected surface rotational velocity (1)	[ucd=phys.veloc.rotat]
#Column	vmacro	(I3)	? Macroturbulent broadening (1)	[ucd=spect.line.broad]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Cat	Name	TIC	SpType	logTeff	logLs	vsini	vmacro	Simbad	_RA	_DE
      25	3	HD 55879   	178489528	O9.7 III       	 4.49	 3.85	 26	 60	Simbad	108.61772	-10.31625
      26	3	HD 154643  	 43284243	O9.7 III       	 4.49	 3.85	101	 78	Simbad	257.05826	-35.00435
      27	4	CPD-47 2963	 30653985	O5 Ifc         	 4.57	 4.16	 67	110	Simbad	134.47757	-47.73769
      28	4	HD 156154  	152659955	O7.5 Ib(f)     	 4.53	 4.22	 62	102	Simbad	259.36254	-35.53667
      29	4	HD 112244  	406050497	O8.5 Iab(f)p   	 4.50	 4.15	124	 80	Simbad	193.98806	-56.83580
      30	4	HD 151804  	337793038	O8 Iaf         	 4.45	 4.33	 72	 73	Simbad	252.89051	-41.23054
      31	4	HD 303492  	459532732	O8.5 Iaf       	 4.45	 4.29	 87	 55	Simbad	162.96979	-58.97646
      32	4	HD 57061   	106347931	O9 II          	 4.51	 4.01	 57	 93	Simbad	109.67703	-24.95437
      33	4	HD 152249  	339567904	OC9 Iab        	 4.49	 4.15	 71	 70	Simbad	253.54850	-41.84925
      34	4	HD 152424  	247267245	OC9.2 Ia       	 4.48	 4.14	 59	 66	Simbad	253.76387	-42.09083
      35	4	HD 154368  	 41792209	O9.5 Iab       	 4.48	 4.28	 65	 78	Simbad	256.61820	-35.45104
      36	4	HD 152003  	338640317	O9.7 Iab Nwk   	 4.48	 4.12	 65	 83	Simbad	253.19739	-41.78583
      37	4	HD 152147  	246953610	O9.7 Ib Nwk    	 4.48	 4.04	 91	 64	Simbad	253.36924	-42.12140
      38	5	HD 36960   	427373484	B0.5 V         	 4.46	 3.31	 23	 37	Simbad	083.76117	-06.00203
      39	5	HD 37042   	427395058	B0.7 V         	 4.47	 3.06	 33	 13	Simbad	083.86000	-05.41689
      40	5	HD 43112   	434384707	B1 V           	 4.41	 2.95	  7	 12	Simbad	093.78530	+13.85110
      41	5	HD 35912   	464839773	B2 V           	 4.26	 2.44	 11	 21	Simbad	082.00613	+01.29825
      42	5	HD 48977   	202148345	B2.5 V         	 4.25	 2.61	 26	  8	Simbad	101.63506	+08.58716
      43	6	HD 34816   	442871031	B0.5 IV        	 4.46	 3.22	 25	   	Simbad	079.89385	-13.17679
      44	6	HD 46328   	 47763235	B0.5 IV        	 4.40	 3.28	  7	 20	Simbad	097.96403	-23.41842
      45	6	HD 50707   	 78897024	B1 IV          	 4.38	 3.31	 29	 46	Simbad	103.38711	-20.22425
      46	6	HD 37481   	332913301	B1.5 IV        	 4.34	 2.78	 74	 21	Simbad	084.65822	-06.57396
      47	6	HD 37209   	388935529	B2 IV          	 4.38	 2.76	 50	 15	Simbad	084.14872	-06.06475
      48	6	HD 26912   	283793973	B3 IV          	 4.20	 2.61	 53	 30	Simbad	063.88357	+08.89236
      49	6	HD 37711   	 59215060	B3 IV          	 4.21	 2.61	 68	 51	Simbad	085.32382	+16.53415
      50	6	HD 57539   	 10176636	B3 IV          	 4.13	 2.54	162	 13	Simbad	110.39430	-05.89719
      51	6	HD 41753   	151464886	B3 IV          	 4.23	 2.61	 25	 40	Simbad	091.89302	+14.76847
      52	6	HD 224990  	313934087	B5 IV          	 4.13	 2.33	 20	 40	Simbad	000.58304	-29.72044
      53	7	HD 48434   	234052684	B0 III         	 4.48	 3.93	 48	 82	Simbad	100.91102	+03.93253
      54	7	HD 61068   	349043273	B2 III         	 4.39	 3.08	 12	 23	Simbad	114.17098	-19.70234
      55	7	HD 35468   	365572007	B2 III         	 4.29	 2.99	 53	 27	Simbad	081.28276	+06.34970
      56	8	HD 44743   	 34590771	B1 II-III      	 4.37	 3.20	 24	 40	Simbad	095.67494	-17.95592
      57	8	HD 54764   	 95513457	B1 II          	 4.30	 3.97	123	 87	Simbad	107.38901	-16.23451
      58	8	HD 52089   	 63198307	B2 II          	 4.34	 3.60	 26	 50	Simbad	104.65645	-28.97209
      59	8	HD 51309   	146908355	B3 II          	 4.20	 3.64	 27	 43	Simbad	104.03427	-17.05424
      60	8	HD 46769   	281148636	B5 II          	 4.11	 3.16	 70	 23	Simbad	098.81596	+00.89022
      61	8	HD 27563   	 37777866	B7 II          	 4.16	 2.61	 34	 26	Simbad	065.17848	-07.59250
      62	8	HD 53244   	148109427	B8 II          	 4.14	 2.74	 36	 21	Simbad	105.93955	-15.63329
      63	8	HD 37128   	427451176	B0 Ia          	 4.47	 4.05	 55	 85	Simbad	084.05339	-01.20192
      64	8	HD 38771   	 66651575	B0.5 Ia        	 4.47	 4.06	 53	 83	Simbad	086.93912	-09.66960
      65	8	HD 53138   	 80466973	B3 Iab         	 4.23	 4.13	 37	 56	Simbad	105.75613	-23.83329
      66	8	HD 39985   	102281507	B9 Ib          	 4.11	 2.34	 26	 28	Simbad	089.11681	+09.50939
      67	9	HD 37061   	427393920	O9.5 V         	 4.49	 3.07	210	   	Simbad	083.88069	-05.26738
      68	9	HD 37742   	 11360636	O9.2 Ib var Nwk	 4.47	 4.15	122	 97	Simbad	085.18970	-01.94257
      69	9	HD 57682   	187458882	O9.2 IV        	 4.54	 3.62	 12	 38	Simbad	110.50856	-08.97938
      70	9	HD 54879   	177860391	O9.7 V         	 4.52	 3.16	  7	 10	Simbad	107.53395	-11.80273

#Table	J_A_A_640_A36_tablea2:
#Name: J/A+A/640/A36/tablea2
#Title: Optimised parameters for the morphology of low-frequency variability (cf. Eq. (2)) using a Bayesian MCMC fitting method
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cat	(I1)	[1/9] Category (G1)	[ucd=meta.code]
#Column	Name	(a11)	Common name	[ucd=meta.id;meta.main]
#Column	TIC	(I9)	TIC number	[ucd=meta.id]
#Column	alpha0	(F8.3)	Amplitude at a frequency of zero	[ucd=src.var.amplitude]
#Column	e_alpha0	(F6.3)	rms uncertainty on alpha0	[ucd=stat.error]
#Column	nuchar	(F8.5)	Characteristic frequency	[ucd=em.freq;src.var]
#Column	e_nuchar	(F8.5)	rms uncertainty on nuchar	[ucd=stat.error]
#Column	gamma	(F8.5)	logarithmic amplitude gradient	[ucd=stat.fit.param]
#Column	e_gamma	(F8.5)	rms uncertainty on gamma	[ucd=stat.error]
#Column	Cw	(F6.3)	Frequency-independent noise term	[ucd=stat.fit.param]
#Column	e_Cw	(F6.3)	rms uncertainty on Cw	[ucd=stat.error]
recno	Cat	Name	TIC	alpha0	e_alpha0	nuchar	e_nuchar	gamma	e_gamma	Cw	e_Cw
 	 	 	 	umag	umag	d-1	d-1	 	 	umag	umag
--------	-	-----------	---------	--------	------	--------	--------	--------	--------	------	------
       1	1	HD 96715   	306491594	  99.219	 0.039	 5.74308	 0.00368	 1.66987	 0.00101	 3.210	 0.007
       2	1	HD 46223   	234881667	 249.330	 0.047	 3.99087	 0.00135	 1.63706	 0.00041	 5.766	 0.002
       3	1	HD 155913  	216662610	 253.521	 0.033	 6.15743	 0.00115	 2.08883	 0.00054	 6.635	 0.006
       4	1	HD 46150   	234840662	 175.470	 0.044	 3.95351	 0.00181	 1.59155	 0.00050	 4.480	 0.002
       5	1	HD 90273   	464295672	 186.796	 0.051	 2.96658	 0.00147	 1.52985	 0.00051	 6.361	 0.002
       6	1	HD 110360  	433738620	 104.664	 0.061	 2.36468	 0.00242	 1.36668	 0.00116	11.971	 0.007
       7	1	HD 47839   	220322383	  54.461	 0.046	 3.78150	 0.00548	 1.59141	 0.00212	 3.900	 0.006
       8	1	HD 53975   	148506724	 144.615	 0.055	 2.77860	 0.00194	 1.36739	 0.00071	 2.631	 0.007
       9	1	HD 41997   	294114621	 803.647	 0.040	 2.61022	 0.00018	 2.32176	 0.00023	 9.622	 0.004
      10	1	HD 46573   	234947719	 409.204	 0.058	 2.00862	 0.00051	 1.43600	 0.00027	 3.883	 0.006
      11	1	HD 48279   	234009943	 262.925	 0.052	 2.77586	 0.00089	 1.73500	 0.00053	11.124	 0.005
      12	1	HD 46056   	234834992	  56.700	 0.026	 9.05220	 0.00551	 2.45063	 0.00266	 7.696	 0.006
      13	1	HD 38666   	100589904	  20.239	 0.048	 4.06758	 0.01641	 1.73389	 0.00697	 1.246	 0.006
      14	2	HD 74920   	430625455	 367.615	 0.036	 3.66392	 0.00053	 2.18152	 0.00040	 4.029	 0.005
      15	2	HD 135591  	455675248	 343.595	 0.061	 1.97700	 0.00066	 1.38857	 0.00026	 2.235	 0.002
      16	2	HD 326331  	339568114	1196.544	 0.056	 2.20987	 0.00017	 1.75566	 0.00012	 9.365	 0.005
      17	2	HD 37041   	427395049	  48.977	 0.085	 0.93624	 0.00304	 1.43815	 0.00304	 4.910	 0.005
      18	2	HD 123056  	330281456	 268.094	 0.033	 4.01672	 0.00065	 2.46953	 0.00073	 8.208	 0.005
      19	3	HD 97253   	467065657	 837.597	 0.048	 2.20426	 0.00019	 2.06179	 0.00020	 5.257	 0.004
      20	3	HD 93843   	465012898	 489.559	 0.060	 2.60714	 0.00055	 1.68517	 0.00032	 2.333	 0.006
      21	3	HD 156738  	195288472	 350.922	 0.032	 4.38608	 0.00054	 2.42795	 0.00045	 9.671	 0.005
      22	3	HD 36861   	436103278	 330.703	 0.064	 2.05434	 0.00077	 1.39102	 0.00030	 1.453	 0.002
      23	3	HD 150574  	234648113	1156.742	 0.049	 2.47023	 0.00017	 1.92152	 0.00014	14.547	 0.005
      24	3	HD 152247  	339570292	 661.325	 0.043	 2.75008	 0.00027	 2.14782	 0.00024	10.339	 0.004
      25	3	HD 55879   	178489528	 191.802	 0.063	 1.71966	 0.00108	 1.42054	 0.00056	 3.195	 0.002
      26	3	HD 154643  	 43284243	 495.620	 0.061	 1.83226	 0.00041	 1.48131	 0.00021	 5.148	 0.002
      27	4	CPD-47 2963	 30653985	 705.866	 0.043	 2.53356	 0.00019	 2.91261	 0.00047	 6.488	 0.004
      28	4	HD 156154  	152659955	1911.500	 0.056	 1.76469	 0.00008	 1.96280	 0.00009	13.637	 0.004
      29	4	HD 112244  	406050497	4203.703	 0.090	 0.91870	 0.00003	 1.93925	 0.00006	19.509	 0.004
      30	4	HD 151804  	337793038	3642.777	 0.055	 0.93978	 0.00001	 4.26287	 0.00024	36.297	 0.004
      31	4	HD 303492  	459532732	3447.949	 0.057	 0.85247	 0.00001	 4.45373	 0.00027	11.850	 0.002
      32	4	HD 57061   	106347931	1261.169	 0.078	 1.41680	 0.00014	 1.84189	 0.00017	 3.970	 0.005
      33	4	HD 152249  	339567904	2144.886	 0.044	 1.76168	 0.00005	 2.94309	 0.00015	27.729	 0.004
      34	4	HD 152424  	247267245	5315.488	 0.059	 0.95329	 0.00001	 3.42169	 0.00011	38.442	 0.004
      35	4	HD 154368  	 41792209	1971.732	 0.037	 1.85794	 0.00004	 4.70571	 0.00034	24.824	 0.004
      36	4	HD 152003  	338640317	4459.742	 0.090	 0.92626	 0.00003	 1.76747	 0.00005	18.221	 0.004
      37	4	HD 152147  	246953610	3879.566	 0.060	 1.13960	 0.00002	 2.43834	 0.00008	27.977	 0.004
      38	5	HD 36960   	427373484	  30.868	 0.047	 1.83618	 0.00375	 2.46009	 0.00780	 3.814	 0.004
      39	5	HD 37042   	427395058	  57.494	 0.066	 1.20717	 0.00210	 1.84494	 0.00334	 9.116	 0.004
      40	5	HD 43112   	434384707	   6.269	 0.117	 0.76982	 0.03045	 1.16679	 0.02216	 3.770	 0.006
      41	5	HD 35912   	464839773	 241.602	 0.048	 2.08064	 0.00049	 3.01021	 0.00161	 5.396	 0.005
      42	5	HD 48977   	202148345	 311.431	 0.066	 1.46731	 0.00043	 2.33096	 0.00098	 4.565	 0.005
      43	6	HD 34816   	442871031	  61.383	 0.114	 0.66173	 0.00244	 1.34255	 0.00275	 1.445	 0.005
      44	6	HD 46328   	 47763235	  54.479	 0.112	 1.08885	 0.00425	 1.34896	 0.00326	 3.490	 0.007
      45	6	HD 50707   	 78897024	 132.110	 0.035	 4.27661	 0.00197	 1.75206	 0.00061	 2.889	 0.002
      46	6	HD 37481   	332913301	  26.284	 0.061	 1.23368	 0.00330	 3.20558	 0.03687	 3.132	 0.005
      47	6	HD 37209   	388935529	  26.461	 0.097	 0.82600	 0.00426	 2.35097	 0.02790	 3.195	 0.005
      48	6	HD 26912   	283793973	 299.788	 0.061	 1.15152	 0.00028	 3.05793	 0.00195	 3.078	 0.004
      49	6	HD 37711   	 59215060	 916.636	 0.058	 0.86817	 0.00006	 3.34037	 0.00062	 9.476	 0.004
      50	6	HD 57539   	 10176636	 154.777	 0.044	 2.60349	 0.00099	 3.06784	 0.00251	 5.565	 0.004
      51	6	HD 41753   	151464886	 302.331	 0.048	 1.27728	 0.00023	 3.47522	 0.00175	12.424	 0.004
      52	6	HD 224990  	313934087	  23.296	 0.065	 1.57162	 0.00700	 2.09149	 0.00988	 2.084	 0.004
      53	7	HD 48434   	234052684	1647.090	 0.063	 1.47146	 0.00009	 2.00588	 0.00013	 8.813	 0.004
      54	7	HD 61068   	349043273	 198.120	 0.090	 1.36075	 0.00121	 1.35714	 0.00076	 5.256	 0.007
      55	7	HD 35468   	365572007	  86.576	 0.078	 0.80155	 0.00110	 1.95155	 0.00305	 1.895	 0.004
      56	8	HD 44743   	 34590771	 133.771	 0.080	 1.96975	 0.00220	 1.35040	 0.00106	 8.802	 0.008
      57	8	HD 54764   	 95513457	1949.927	 0.070	 0.96136	 0.00005	 2.04624	 0.00014	10.902	 0.004
      58	8	HD 52089   	 63198307	 222.135	 0.069	 1.30671	 0.00070	 1.63586	 0.00065	 2.109	 0.002
      59	8	HD 51309   	146908355	1572.988	 0.087	 0.66617	 0.00006	 2.15494	 0.00023	 5.917	 0.002
      60	8	HD 46769   	281148636	   6.763	 0.056	 1.02897	 0.01017	 2.76723	 0.07812	 3.139	 0.004
      61	8	HD 27563   	 37777866	 264.680	 0.059	 0.97211	 0.00025	 3.49058	 0.00231	 3.479	 0.004
      62	8	HD 53244   	148109427	  10.428	 0.065	 0.79102	 0.00547	 3.30717	 0.06935	 1.444	 0.004
      63	8	HD 37128   	427451176	2562.785	 0.069	 0.87736	 0.00003	 2.28089	 0.00012	19.682	 0.004
      64	8	HD 38771   	 66651575	1159.940	 0.083	 0.87575	 0.00010	 1.91176	 0.00022	 8.819	 0.004
      65	8	HD 53138   	 80466973	1313.016	 0.108	 0.44918	 0.00005	 2.39756	 0.00043	 5.089	 0.002
      66	8	HD 39985   	102281507	   8.600	 0.081	 1.02655	 0.01553	 1.82852	 0.03437	 3.579	 0.005
      67	9	HD 37061   	427393920	  34.886	 0.068	 1.64256	 0.00459	 2.41671	 0.01151	 3.237	 0.005
      68	9	HD 37742   	 11360636	 829.560	 0.070	 1.41864	 0.00016	 2.41592	 0.00042	 7.544	 0.005
      69	9	HD 57682   	187458882	 159.073	 0.095	 1.11609	 0.00138	 1.16316	 0.00080	 3.029	 0.007
      70	9	HD 54879   	177860391	  32.960	 0.052	 1.26842	 0.00235	 3.41894	 0.01621	 5.871	 0.004

