#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/639/A81&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36390081
#Name: J/A+A/639/A81
#Title: Variability of OB stars (Burssens+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	creator=Burssens S.	    First author or institution
#INFO	cites=bibcode:2020A&A...639A..81B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/639/A81	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36390081	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_639_A81_table2:
#Name: J/A+A/639/A81/table2
#Title: Overview of OB-type stars with available TESS photometry and IACOB/OWN spectroscopy with spectral type O4 to B3 considered in this work
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(I1)	Sample code (G1)	[ucd=meta.code;src.sample]
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	SpType	(a21)	Spectral type	[ucd=src.spType]
#Column	SpClass	(a15)	Spectral class	[ucd=src.spType]
#Column	logTeff	(F5.2)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	logLs	(F5.2)	? Spectroscopic luminosity (where Ls=Teff^4^/g) (2)	[ucd=stat.fit.param]
#Column	vsini	(I3)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	vmac	(I3)	? Macroturbulent velocity	[ucd=phys.veloc.microTurb]
#Column	Nsp	(I3)	Number of available spectra	[ucd=meta.number]
#Column	VarTypesp	(a8)	Spectral variability type (G3)	[ucd=meta.code;src.var]
#Column	VarTypeT	(a12)	TESS variability type (4)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Sample	Name	SpType	SpClass	logTeff	logLs	vsini	vmac	Nsp	VarTypesp	VarTypeT	Simbad	_RA	_DE
      22	1	HD 37041   	O9.5                 	IVp            	 4.54	 3.28	134	   	 30	SB1     	SLF?        	Simbad	083.84543	-05.41606
      23	1	HD 48099   	O5 V((f))z + O9: V   	---            	     	     	   	   	  4	SB2     	SLF         	Simbad	100.49679	+06.34543
      24	1	HD 159176  	O7 V((f)) + O7 V((f))	---            	     	     	   	   	  4	SB2     	EB          	Simbad	263.67705	-32.58166
      25	1	HD 54662   	O7 Vzvar?            	---            	     	     	   	   	 12	SB2     	SLF         	Simbad	107.33437	-10.34656
      26	1	HD 57236   	O8.5 V + ?           	---            	     	     	   	   	  6	SB2     	SLF+rot     	Simbad	109.87543	-22.00480
      27	1	HD 75759   	O9 V + B0 V          	---            	     	     	   	   	  6	SB2     	SLF         	Simbad	132.58757	-42.08979
      28	1	HD 37468   	O9.5 V + B0.5 V      	---            	     	     	   	   	 80	SB2     	cont.       	Simbad	084.68653	-02.60008
      29	2	HD 66811   	O4                   	I(n)fp         	     	     	198	 12	 10	---     	SLF+rot     	Simbad	120.89603	-40.00315
      30	2	HD 97253   	O5                   	III(f)         	 4.59	 4.16	 70	105	  2	WVa     	SLF+SPB?    	Simbad	167.67520	-60.38448
      31	2	HD 93843   	O5                   	III(fc)        	 4.57	 4.15	 58	120	  4	WVa     	SLF+rot     	Simbad	162.15738	-60.22375
      32	2	HD 156738  	O6.5                 	III(f)         	 4.58	 3.87	 65	103	  2	---     	SLF         	Simbad	260.21941	-36.07238
      33	2	HD 36861   	O8                   	III((f))       	 4.55	 4.06	 53	 75	881	---     	SLF         	Simbad	083.78450	+09.93415
      34	2	HD 150574  	ON9                  	III(n)         	 4.52	 3.87	252	   	  1	---     	SLF+rot?    	Simbad	251.03004	-46.14162
      35	2	HD 152247  	O9.2                 	III            	 4.51	 3.94	 82	 96	  7	SB1     	SLF+SPB?    	Simbad	253.54799	-41.64194
      36	2	HD 55879   	O9.7                 	III            	 4.49	 3.85	 26	 60	  9	---     	SLF         	Simbad	108.61772	-10.31625
      37	2	HD 154643  	O9.7                 	III            	 4.49	 3.85	101	 78	  5	SB1     	SLF+rot?    	Simbad	257.05826	-35.00435
      38	2	HD 152233  	O6                   	II(f)          	 4.58	 4.01	 62	105	  9	SB1?    	cont.       	Simbad	253.51496	-41.79162
      39	2	HD 57061   	O9                   	II             	 4.51	 4.01	 57	 93	  9	WVa/SB1 	EB          	Simbad	109.67703	-24.95437
      40	2	HD 36486   	O9.5                 	II Nwk         	 4.51	 3.99	121	 96	 65	SB1     	EB          	Simbad	083.00167	-00.29909
      41	2	CPD-47 2963	O5                   	Ifc            	 4.57	 4.16	 67	110	  5	WVa     	SLF         	Simbad	134.47757	-47.73769
      42	2	HD 57060   	O7                   	Iafp var       	     	     	   	   	 12	WVe/SB1 	EB          	Simbad	109.66825	-24.55870
      43	2	HD 156154  	O7.5                 	Ib(f)          	 4.53	 4.22	 62	102	  4	WVa     	SLF+SPB?    	Simbad	259.36254	-35.53667
      44	2	HD 112244  	O8.5                 	Iab(f)p        	 4.50	 4.15	124	 80	 12	WVe/SB1?	SLF         	Simbad	193.98806	-56.83580
      45	2	HD 151804  	O8                   	Iaf            	 4.45	 4.33	 72	 73	  2	WVe     	SLF         	Simbad	252.89051	-41.23054
      46	2	HD 47129   	O8                   	fp var         	     	     	   	   	  5	WVe/SB1 	EB          	Simbad	099.35017	+06.13538
      47	2	HD 303492  	O8.5                 	Iaf            	 4.45	 4.29	 87	 55	  4	WVe     	SLF         	Simbad	162.96979	-58.97646
      48	2	HD 152249  	OC9                  	Iab            	 4.49	 4.15	 71	 70	 19	WVe     	SLF+SPB?    	Simbad	253.54850	-41.84925
      49	2	HD 152424  	OC9.2                	Ia             	 4.48	 4.14	 59	 66	  5	WVe/SB1 	SLF+SPB?    	Simbad	253.76387	-42.09083
      50	2	HD 154368  	O9.5                 	Iab            	 4.48	 4.28	 65	 78	  5	WVe     	SLF+SPB?    	Simbad	256.61820	-35.45104
      51	2	HD 152003  	O9.7                 	Iab Nwk        	 4.48	 4.12	 65	 83	  2	WVe     	SLF+rot?    	Simbad	253.19739	-41.78583
      52	2	HD 152147  	O9.7                 	Ib Nwk         	 4.48	 4.04	 91	 64	  4	WVa/SB1 	SLF+SPB?    	Simbad	253.36924	-42.12140
      53	2	HD 37043   	O9 III + B1 III/IV   	 ---           	     	     	   	   	 99	SB2     	SLF+SPB?    	Simbad	083.85826	-05.90990
      54	3	HD 36960   	B0.5                 	V              	 4.46	 3.31	 23	 37	  4	---     	SLF+SPB?    	Simbad	083.76117	-06.00203
      55	3	HD 37042   	B0.7                 	V              	 4.47	 3.06	 33	 13	 25	---     	SLF?        	Simbad	083.86000	-05.41689
      56	3	HD 36959   	B1                   	V              	 4.41	 2.82	 11	 14	  2	---     	cont.       	Simbad	083.75419	-06.00927
      57	3	HD 43112   	B1                   	V              	 4.41	 2.95	  7	 12	  1	---     	SLF?        	Simbad	093.78530	+13.85110
      58	3	HD 37303   	B1.5                 	V              	 4.32	 2.88	280	   	  1	---     	hybrid      	Simbad	084.36399	-05.93839
      59	3	HD 35912   	B2                   	V              	 4.26	 2.44	 11	 21	  2	LPV     	SPB         	Simbad	082.00613	+01.29825
      60	3	HD 48977   	B2.5                 	V              	 4.25	 2.61	 26	  8	  1	LPV/SB2?	SPB         	Simbad	101.63506	+08.58716
      61	3	HD 23466   	B3                   	V              	 4.20	 2.51	 75	100	  1	---     	EB          	Simbad	056.41851	+06.05000
      62	3	HD 34816   	B0.5                 	IV             	 4.46	 3.22	 25	   	  1	---     	rot         	Simbad	079.89385	-13.17679
      63	3	HD 46328   	B0.5                 	IV             	 4.40	 3.28	  7	 20	  2	LPV/SB1?	beta Cep    	Simbad	097.96403	-23.41842
      64	3	HD 50707   	B1                   	IV             	 4.38	 3.31	 29	 46	  2	LPV/SB1?	beta Cep    	Simbad	103.38711	-20.22425
      65	3	HD 37481   	B1.5                 	IV             	 4.34	 2.78	 74	 21	  2	---     	hybrid      	Simbad	084.65822	-06.57396
      66	3	HD 16582   	B2                   	IV             	 4.34	 2.94	  9	 19	  1	---     	beta Cep    	Simbad	039.87065	+00.32851
      67	3	HD 37209   	B2                   	IV             	 4.38	 2.76	 50	 15	  2	---     	hybrid      	Simbad	084.14872	-06.06475
      68	3	HD 26912   	B3                   	IV             	 4.20	 2.61	 53	 30	  1	---     	SPB         	Simbad	063.88357	+08.89236
      69	3	HD 37711   	B3                   	IV             	 4.21	 2.61	 68	 51	  3	LPV/SB1?	SPB         	Simbad	085.32382	+16.53415
      70	3	HD 57539   	B3                   	IV             	 4.13	 2.54	162	 13	  1	---     	SPB         	Simbad	110.39430	-05.89719
      71	3	HD 41753   	B3                   	IV             	 4.23	 2.61	 25	 40	  1	---     	SPB         	Simbad	091.89302	+14.76847
      72	3	HD 224990  	B5                   	IV             	 4.13	 2.33	 20	 40	  1	---     	SPB         	Simbad	000.58304	-29.72044
      73	3	HD 37018   	B1 V + ?             	---            	     	     	   	   	 33	SB2     	SLF+SPB?    	Simbad	083.84652	-04.83836
      74	4	HD 48434   	B0                   	III            	 4.48	 3.93	 48	 82	  3	WVa     	SLF         	Simbad	100.91102	+03.93253
      75	4	HD 61068   	B2                   	III            	 4.39	 3.08	 12	 23	  2	LPV/SB1?	beta Cep    	Simbad	114.17098	-19.70234
      76	4	HD 35468   	B2                   	III            	 4.29	 2.99	 53	 27	  5	---     	SLF+rot?    	Simbad	081.28276	+06.34970
      77	4	HD 44743   	B1                   	II-III         	 4.37	 3.20	 24	 40	  6	LPV/SB1?	beta Cep    	Simbad	095.67494	-17.95592
      78	4	HD 54764   	B1                   	II             	 4.30	 3.97	123	 87	  3	---     	SLF+SPB?    	Simbad	107.38901	-16.23451
      79	4	HD 52089   	B2                   	II             	 4.34	 3.60	 26	 50	 21	---     	SLF+rot?    	Simbad	104.65645	-28.97209
      80	4	HD 62747   	B2                   	II             	 4.34	 3.36	 98	 29	  2	SB1     	EB          	Simbad	116.14237	-24.67408
      81	4	HD 51309   	B3                   	II             	 4.20	 3.64	 27	 43	 11	---     	SLF         	Simbad	104.03427	-17.05424
      82	4	HD 46769   	B5                   	II             	 4.11	 3.16	 70	 23	 25	---     	SLF+rot?    	Simbad	098.81596	+00.89022
      83	4	HD 27563   	B7                   	II             	 4.16	 2.61	 34	 26	  1	---     	SLF+SPB     	Simbad	065.17848	-07.59250
      84	4	HD 53244   	B8                   	II             	 4.14	 2.74	 36	 21	  3	---     	SLF+rot     	Simbad	105.93955	-15.63329
      85	4	HD 37128   	B0                   	Ia             	 4.47	 4.05	 55	 85	281	WVe     	SLF+SPB?    	Simbad	084.05339	-01.20192
      86	4	HD 38771   	B0.5                 	Ia             	 4.47	 4.06	 53	 83	247	WVe     	SLF+SPB?    	Simbad	086.93912	-09.66960
      87	4	HD 53138   	B3                   	Iab            	 4.23	 4.13	 37	 56	 12	WVe     	SLF+SPB?    	Simbad	105.75613	-23.83329
      88	4	HD 39985   	B9                   	Ib             	 4.11	 2.34	 26	 28	  7	---     	SLF?        	Simbad	089.11681	+09.50939
      89	5	HD 37022   	O7                   	Vp             	     	     	 23	 68	 67	---     	cont.       	Simbad	083.81860	-05.38968
      90	5	HD 46056   	O8                   	Vn             	 4.55	 3.58	370	   	  4	---     	PQ          	Simbad	097.83692	+04.83440
      91	5	HD 37061   	O9.5                 	V              	 4.49	 3.07	210	   	  4	SB1     	rot         	Simbad	083.88069	-05.26738
      92	5	HD 37742   	O9.2                 	Ib var Nwk     	 4.47	 4.15	122	 97	177	WVe/SB1 	SLF         	Simbad	085.18970	-01.94257
      93	5	HD 57682   	O9.2                 	IV             	 4.54	 3.62	 12	 38	  5	---     	SLF         	Simbad	110.50856	-08.97938
      94	5	HD 54879   	O9.7                 	V              	 4.52	 3.16	  7	 10	  8	---     	SLF?        	Simbad	107.53395	-11.80273
      95	5	HD 37479   	B2                   	Vp             	     	     	155	 49	  2	---     	rot         	Simbad	084.69669	-02.59459
      96	6	HD 39680   	O6                   	V:[n]pevar     	     	     	101	 31	  4	---     	SLF+SPB?    	Simbad	088.68638	+13.85474
      97	6	HD 45314   	O9:                  	npe            	     	     	128	  4	  5	---     	SLF+SPB?    	Simbad	096.81574	+14.88923
      98	6	HD 58978   	B0                   	IV:e           	     	     	   	   	  2	---     	beta Cep    	Simbad	111.74784	-23.08602

#Table	J_A_A_639_A81_tablea1:
#Name: J/A+A/639/A81/tablea1
#Title: Summary of the frequency analysis of the stars considered in this work
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(I1)	Sample code (G1)	[ucd=meta.code;src.sample]
#Column	Name	(a11)	Star Name	[ucd=meta.id;meta.main]
#Column	TIC	(I9)	TIC identification number	[ucd=meta.id]
#Column	n_TIC	(A1)	[+] Note on TIC (2)	[ucd=meta.note]
#Column	1/DT	(F6.3)	Frequency resolution of the amplitude spectra, defined as the reciprocal of the time-span	[ucd=spect.resolution]
#Column	Window	(F4.1)	Noise window	[ucd=instr.det.noise]
#Column	nudom	(F8.5)	Dominant frequency	[ucd=em.freq]
#Column	e_nudom	(F8.5)	rms uncertainty on nudom	[ucd=stat.error]
#Column	Adom	(F7.3)	Amplitude of dominant frequency	[ucd=phot.mag]
#Column	e_Adom	(F6.3)	rms uncertainty on Adom	[ucd=stat.error]
#Column	S/N	(F5.2)	Signal-to-noise ratio	[ucd=stat.snr]
#Column	VarTypesp	(a13)	Spectral variability type (G3)	[ucd=meta.code;src.var]
#Column	Notes	(a7)	Notes (4)	[ucd=meta.note]
recno	Sample	Name	TIC	n_TIC	1/DT	Window	nudom	e_nudom	Adom	e_Adom	S/N	VarTypesp	Notes
 	 	 	 	 	d-1	d-1	d-1	d-1	mmag	mmag	 	 	
--------	-	-----------	---------	-	------	----	--------	--------	-------	------	-----	-------------	-------
       1	1	HD 96715   	306491594	 	 0.018	 1.0	 0.47800	 0.00070	  0.330	 0.020	 3.34	SLF          	
       2	1	HD 46223   	234881667	 	 0.046	 1.0	 0.18100	 0.00200	  0.800	 0.050	 3.16	SLF+SPB?     	
       3	1	HD 155913  	216662610	 	 0.040	 1.0	 1.63700	 0.00100	  1.550	 0.070	 4.27	SLF+SPB      	
       4	1	HD 46150   	234840662	 	 0.046	 1.0	 0.56300	 0.00200	  0.440	 0.030	 2.27	SLF          	
       5	1	HD 90273   	464295672	 	 0.041	 1.0	 0.58100	 0.00100	  0.670	 0.040	 2.46	SLF+SPB?     	
       6	1	HD 110360  	433738620	 	 0.039	 1.0	 1.23720	 0.00060	  0.770	 0.020	 5.59	rot?         	
       7	1	HD 47839   	220322383	 	 0.046	 1.0	12.54350	 0.00070	  0.390	 0.010	 7.87	SLF+ beta Cep	
       8	1	HD 46485   	234933888	 	 0.046	 5.0	 0.14530	 0.00040	  8.900	 0.100	15.43	EB           	HARM, *
       9	1	HD 53975   	148506724	 	 0.041	 1.0	 0.17000	 0.00050	  1.190	 0.030	 5.13	SLF+rot?     	
      10	1	HD 41997   	294114621	 	 0.046	 1.0	 1.22000	 0.00200	  2.500	 0.200	 3.19	SLF+rot?     	
      11	1	HD 152590  	341258182	 	 0.040	 5.0	 0.44500	 0.00300	 25.000	 4.000	 5.95	EB           	HARM, *
      12	1	HD 46573   	234947719	 	 0.046	 1.0	 0.86100	 0.00200	  0.970	 0.070	 2.60	SLF+rot?     	
      13	1	HD 48279   	234009943	 	 0.046	 1.0	 1.21300	 0.00200	  0.680	 0.040	 3.09	SLF+SPB?     	
      14	1	HD 101191  	319936861	 	 0.018	 1.0	 0.95530	 0.00020	  1.980	 0.040	 7.28	cont.        	IV
      15	1	HD 38666   	100589904	 	 0.019	 1.0	 0.83490	 0.00030	  0.162	 0.004	 5.62	PQ           	IV
      16	1	HD 36512   	 34512896	 	 0.046	 1.0	 0.30600	 0.00100	  0.095	 0.005	 2.41	SLF?         	
      17	1	HD 123056  	330281456	 	 0.039	 1.0	 0.47530	 0.00070	  2.250	 0.070	 5.30	SLF+SPB?     	
      18	1	HD 76556   	 30135331	 	 0.041	 1.0	 0.23500	 0.00200	  3.000	 0.200	 3.49	SLF+SPB?     	
      19	1	HD 74920   	430625455	 	 0.020	 1.0	 1.56800	 0.00100	  1.000	 0.100	 2.89	SLF+SPB?     	
      20	1	HD 135591  	455675248	 	 0.036	 1.0	 0.62500	 0.00200	  0.950	 0.080	 2.88	SLF          	
      21	1	HD 326331  	339568114	 	 0.040	 1.0	 0.18900	 0.00200	  2.500	 0.300	 2.33	SLF          	
      22	1	HD 37041   	427395049	 	 0.046	 1.0	 0.17800	 0.00100	  0.127	 0.005	 3.05	SLF?         	
      23	1	HD 48099   	231154751	 	 0.046	 1.0	 0.65590	 0.00100	  0.980	 0.040	 3.43	SLF          	
      24	1	HD 159176  	102643159	 	 0.040	 5.0	 0.59290	 0.00050	  7.000	 0.200	15.35	EB           	HARM, *
      25	1	HD 54662   	177717406	 	 0.041	 1.0	 0.71000	 0.00100	  0.190	 0.010	 2.63	SLF          	
      26	1	HD 57236   	  5051420	 	 0.041	 1.0	 0.71550	 0.00060	  0.349	 0.009	 5.05	SLF+rot      	
      27	1	HD 75759   	 29207816	 	 0.020	 1.0	 0.49470	 0.00040	  0.136	 0.005	 2.59	SLF          	
      28	1	HD 37468   	 11286198	+	 0.046	 1.0	 1.67880	 0.00080	  1.480	 0.050	 7.85	cont.        	
      29	2	HD 66811   	133422778	 	 0.041	 1.0	 0.56600	 0.00200	  3.000	 0.300	 3.91	SLF+rot      	
      30	2	HD 97253   	467065657	 	 0.039	 1.0	 0.49500	 0.00300	  2.000	 0.200	 2.35	SLF+SPB?     	
      31	2	HD 93843   	465012898	 	 0.018	 1.0	 0.34450	 0.00030	  4.800	 0.100	 7.15	SLF+rot      	
      32	2	HD 156738  	195288472	 	 0.040	 1.0	 0.89400	 0.00200	  1.010	 0.080	 2.63	SLF          	
      33	2	HD 36861   	436103278	 	 0.046	 1.0	 0.20500	 0.00400	  0.670	 0.090	 2.07	SLF          	
      34	2	HD 150574  	234648113	 	 0.040	 1.0	 0.71500	 0.00200	  2.400	 0.300	 2.17	SLF+rot?     	
      35	2	HD 152247  	339570292	 	 0.040	 1.0	 0.15860	 0.00090	  3.300	 0.100	 3.79	SLF+SPB?     	
      36	2	HD 55879   	178489528	 	 0.041	 1.0	 0.22200	 0.00100	  0.390	 0.020	 2.23	SLF          	
      37	2	HD 154643  	 43284243	 	 0.040	 1.0	 0.10900	 0.00200	  0.980	 0.070	 2.24	SLF+rot?     	
      38	2	HD 152233  	339565205	 	 0.040	 1.0	 0.22600	 0.00100	  7.600	 0.400	 2.45	cont.        	
      39	2	HD 57061   	106347931	 	 0.041	 5.0	 1.56040	 0.00080	 19.300	 0.700	20.35	EB           	HARM, *
      40	2	HD 36486   	 50743469	 	 0.046	 5.0	 0.34940	 0.00100	  8.700	 0.300	14.02	EB           	HARM, *
      41	2	CPD-47 2963	 30653985	 	 0.020	 1.0	 0.52300	 0.00100	  2.100	 0.200	 2.87	SLF          	
      42	2	HD 57060   	106349204	+	 0.041	 5.0	 0.45530	 0.00070	186.000	 5.000	31.61	EB           	HARM, *
      43	2	HD 156154  	152659955	 	 0.040	 1.0	 0.23700	 0.00200	  5.100	 0.500	 3.13	SLF+SPB?     	
      44	2	HD 112244  	406050497	 	 0.039	 1.0	 0.31400	 0.00400	  8.000	 1.000	 2.47	SLF          	
      45	2	HD 151804  	337793038	 	 0.040	 1.0	 0.53800	 0.00200	  6.400	 0.500	 2.51	SLF          	
      46	2	HD 47129   	220197273	 	 0.046	 5.0	 1.64500	 0.00200	 18.000	 1.000	12.35	EB           	HARM, *
      47	2	HD 303492  	459532732	 	 0.039	 1.0	 0.42000	 0.00200	  9.000	 0.900	 3.15	SLF          	
      48	2	HD 152249  	339567904	 	 0.040	 1.0	 0.45500	 0.00200	  5.100	 0.500	 2.59	SLF+SPB?     	
      49	2	HD 152424  	247267245	 	 0.040	 1.0	 0.42300	 0.00400	  8.000	 2.000	 2.25	SLF+SPB?     	
      50	2	HD 154368  	 41792209	 	 0.040	 1.0	 0.78800	 0.00200	  4.400	 0.400	 2.53	SLF+SPB?     	
      51	2	HD 152003  	338640317	 	 0.040	 1.0	 0.11200	 0.00200	  9.400	 0.900	 2.86	SLF+rot?     	
      52	2	HD 152147  	246953610	 	 0.040	 1.0	 0.39800	 0.00200	  8.400	 0.900	 2.69	SLF+SPB?     	
