#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T12:00:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:00:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/639/A81/tablea1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36390081
#Name: J/A+A/639/A81
#Title: Variability of OB stars (Burssens+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	creator=Burssens S.	    First author or institution
#INFO	cites=bibcode:2020A&A...639A..81B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/639/A81	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36390081	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_639_A81_tablea1:
#Name: J/A+A/639/A81/tablea1
#Title: Summary of the frequency analysis of the stars considered in this work
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(I1)	Sample code (G1)	[ucd=meta.code;src.sample]
#Column	Name	(a11)	Star Name	[ucd=meta.id;meta.main]
#Column	TIC	(I9)	TIC identification number	[ucd=meta.id]
#Column	n_TIC	(A1)	[+] Note on TIC (2)	[ucd=meta.note]
#Column	1/DT	(F6.3)	Frequency resolution of the amplitude spectra, defined as the reciprocal of the time-span	[ucd=spect.resolution]
#Column	Window	(F4.1)	Noise window	[ucd=instr.det.noise]
#Column	nudom	(F8.5)	Dominant frequency	[ucd=em.freq]
#Column	e_nudom	(F8.5)	rms uncertainty on nudom	[ucd=stat.error]
#Column	Adom	(F7.3)	Amplitude of dominant frequency	[ucd=phot.mag]
#Column	e_Adom	(F6.3)	rms uncertainty on Adom	[ucd=stat.error]
#Column	S/N	(F5.2)	Signal-to-noise ratio	[ucd=stat.snr]
#Column	VarTypesp	(a13)	Spectral variability type (G3)	[ucd=meta.code;src.var]
#Column	Notes	(a7)	Notes (4)	[ucd=meta.note]
recno	Sample	Name	TIC	n_TIC	1/DT	Window	nudom	e_nudom	Adom	e_Adom	S/N	VarTypesp	Notes
      22	1	HD 37041   	427395049	 	 0.046	 1.0	 0.17800	 0.00100	  0.127	 0.005	 3.05	SLF?         	
      23	1	HD 48099   	231154751	 	 0.046	 1.0	 0.65590	 0.00100	  0.980	 0.040	 3.43	SLF          	
      24	1	HD 159176  	102643159	 	 0.040	 5.0	 0.59290	 0.00050	  7.000	 0.200	15.35	EB           	HARM, *
      25	1	HD 54662   	177717406	 	 0.041	 1.0	 0.71000	 0.00100	  0.190	 0.010	 2.63	SLF          	
      26	1	HD 57236   	  5051420	 	 0.041	 1.0	 0.71550	 0.00060	  0.349	 0.009	 5.05	SLF+rot      	
      27	1	HD 75759   	 29207816	 	 0.020	 1.0	 0.49470	 0.00040	  0.136	 0.005	 2.59	SLF          	
      28	1	HD 37468   	 11286198	+	 0.046	 1.0	 1.67880	 0.00080	  1.480	 0.050	 7.85	cont.        	
      29	2	HD 66811   	133422778	 	 0.041	 1.0	 0.56600	 0.00200	  3.000	 0.300	 3.91	SLF+rot      	
      30	2	HD 97253   	467065657	 	 0.039	 1.0	 0.49500	 0.00300	  2.000	 0.200	 2.35	SLF+SPB?     	
      31	2	HD 93843   	465012898	 	 0.018	 1.0	 0.34450	 0.00030	  4.800	 0.100	 7.15	SLF+rot      	
      32	2	HD 156738  	195288472	 	 0.040	 1.0	 0.89400	 0.00200	  1.010	 0.080	 2.63	SLF          	
      33	2	HD 36861   	436103278	 	 0.046	 1.0	 0.20500	 0.00400	  0.670	 0.090	 2.07	SLF          	
      34	2	HD 150574  	234648113	 	 0.040	 1.0	 0.71500	 0.00200	  2.400	 0.300	 2.17	SLF+rot?     	
      35	2	HD 152247  	339570292	 	 0.040	 1.0	 0.15860	 0.00090	  3.300	 0.100	 3.79	SLF+SPB?     	
      36	2	HD 55879   	178489528	 	 0.041	 1.0	 0.22200	 0.00100	  0.390	 0.020	 2.23	SLF          	
      37	2	HD 154643  	 43284243	 	 0.040	 1.0	 0.10900	 0.00200	  0.980	 0.070	 2.24	SLF+rot?     	
      38	2	HD 152233  	339565205	 	 0.040	 1.0	 0.22600	 0.00100	  7.600	 0.400	 2.45	cont.        	
      39	2	HD 57061   	106347931	 	 0.041	 5.0	 1.56040	 0.00080	 19.300	 0.700	20.35	EB           	HARM, *
      40	2	HD 36486   	 50743469	 	 0.046	 5.0	 0.34940	 0.00100	  8.700	 0.300	14.02	EB           	HARM, *
      41	2	CPD-47 2963	 30653985	 	 0.020	 1.0	 0.52300	 0.00100	  2.100	 0.200	 2.87	SLF          	
      42	2	HD 57060   	106349204	+	 0.041	 5.0	 0.45530	 0.00070	186.000	 5.000	31.61	EB           	HARM, *
      43	2	HD 156154  	152659955	 	 0.040	 1.0	 0.23700	 0.00200	  5.100	 0.500	 3.13	SLF+SPB?     	
      44	2	HD 112244  	406050497	 	 0.039	 1.0	 0.31400	 0.00400	  8.000	 1.000	 2.47	SLF          	
      45	2	HD 151804  	337793038	 	 0.040	 1.0	 0.53800	 0.00200	  6.400	 0.500	 2.51	SLF          	
      46	2	HD 47129   	220197273	 	 0.046	 5.0	 1.64500	 0.00200	 18.000	 1.000	12.35	EB           	HARM, *
      47	2	HD 303492  	459532732	 	 0.039	 1.0	 0.42000	 0.00200	  9.000	 0.900	 3.15	SLF          	
      48	2	HD 152249  	339567904	 	 0.040	 1.0	 0.45500	 0.00200	  5.100	 0.500	 2.59	SLF+SPB?     	
      49	2	HD 152424  	247267245	 	 0.040	 1.0	 0.42300	 0.00400	  8.000	 2.000	 2.25	SLF+SPB?     	
      50	2	HD 154368  	 41792209	 	 0.040	 1.0	 0.78800	 0.00200	  4.400	 0.400	 2.53	SLF+SPB?     	
      51	2	HD 152003  	338640317	 	 0.040	 1.0	 0.11200	 0.00200	  9.400	 0.900	 2.86	SLF+rot?     	
      52	2	HD 152147  	246953610	 	 0.040	 1.0	 0.39800	 0.00200	  8.400	 0.900	 2.69	SLF+SPB?     	
      53	2	HD 37043   	427395774	 	 0.046	 1.0	 0.50500	 0.00400	  1.600	 0.300	 2.06	SLF+SPB?     	
      54	3	HD 36960   	427373484	 	 0.046	 1.0	 1.00240	 0.00090	  0.111	 0.004	 3.46	SLF+SPB?     	
      55	3	HD 37042   	427395058	 	 0.046	 1.0	 0.20100	 0.00100	  0.167	 0.009	 2.78	SLF?         	
      56	3	HD 36959   	427373476	 	 0.046	 1.0	 0.29900	 0.00100	  0.530	 0.030	 3.17	cont.        	IV
      57	3	HD 43112   	434384707	 	 0.046	 1.0	 0.31100	 0.00200	  0.036	 0.003	 3.28	SLF?         	
      58	3	HD 37303   	332856560	 	 0.046	 5.0	11.78890	 0.00080	  0.350	 0.010	15.29	hybrid       	*
      59	3	HD 35912   	464839773	 	 0.046	 5.0	 0.83500	 0.00100	  4.000	 0.200	14.08	SPB          	*
      60	3	HD 48977   	202148345	+	 0.046	 5.0	 0.51600	 0.00200	  2.800	 0.200	12.00	SPB          	*
      61	3	HD 23466   	426588729	 	 0.038	 5.0	 0.40500	 0.00100	  6.200	 0.400	13.69	EB           	HARM, *
      62	3	HD 34816   	442871031	 	 0.038	 1.0	 0.79230	 0.00020	  1.560	 0.010	 9.49	rot          	*
      63	3	HD 46328   	 47763235	+	 0.046	 5.0	 4.77150	 0.00010	 12.910	 0.080	30.65	beta Cep     	*
      64	3	HD 50707   	 78897024	 	 0.021	 5.0	 5.41880	 0.00020	  3.870	 0.080	30.64	beta Cep     	*
      65	3	HD 37481   	332913301	 	 0.046	 5.0	 1.10520	 0.00080	  0.134	 0.004	 8.74	hybrid       	*
      66	3	HD 16582   	328161938	 	 0.039	 5.0	 6.20598	 0.00009	  8.200	 0.030	27.88	beta Cep     	*
      67	3	HD 37209   	388935529	 	 0.046	 5.0	 0.27090	 0.00090	  0.117	 0.004	11.02	hybrid       	*
      68	3	HD 26912   	283793973	 	 0.038	 5.0	 0.50000	 0.00300	  3.400	 0.400	15.43	SPB          	*
      69	3	HD 37711   	 59215060	 	 0.046	 5.0	 0.45030	 0.00070	  3.800	 0.100	18.57	SPB          	*
      70	3	HD 57539   	 10176636	 	 0.041	 5.0	 1.65180	 0.00070	  3.200	 0.100	16.16	SPB          	*
      71	3	HD 41753   	151464886	+	 0.046	 5.0	 0.66000	 0.00080	  5.300	 0.200	23.80	SPB          	*
      72	3	HD 224990  	313934087	 	 0.036	 5.0	 0.57330	 0.00030	  0.504	 0.007	19.72	SPB          	*
      73	3	HD 37018   	427393354	 	 0.046	 1.0	 0.83200	 0.00080	  0.148	 0.004	 4.35	SLF+SPB?     	
      74	4	HD 48434   	234052684	+	 0.046	 1.0	 0.03400	 0.00400	  4.700	 0.700	 2.63	SLF          	
      75	4	HD 61068   	349043273	 	 0.041	 5.0	 6.07200	 0.00100	  5.500	 0.300	18.98	beta Cep     	*
      76	4	HD 35468   	365572007	 	 0.046	 1.0	 0.27610	 0.00090	  0.195	 0.007	 2.94	SLF+rot?     	
      77	4	HD 44743   	 34590771	+	 0.046	 5.0	 3.97840	 0.00010	  5.860	 0.030	25.78	beta Cep     	*
      78	4	HD 54764   	 95513457	 	 0.041	 1.0	 0.49000	 0.00100	  4.900	 0.300	 3.10	SLF+SPB?     	
      79	4	HD 52089   	 63198307	 	 0.021	 1.0	 0.23400	 0.00050	  0.710	 0.030	 3.71	SLF+rot?     	
      80	4	HD 62747   	126586580	 	 0.041	 5.0	 0.51000	 0.00200	 12.000	 1.000	10.75	EB           	HARM, *
      81	4	HD 51309   	146908355	 	 0.021	 1.0	 0.11120	 0.00070	  3.800	 0.200	 3.51	SLF          	
      82	4	HD 46769   	281148636	 	 0.046	 1.0	 0.22490	 0.00090	  0.082	 0.003	 4.05	SLF+rot?     	
      83	4	HD 27563   	 37777866	 	 0.038	 1.0	 0.28200	 0.00060	  2.780	 0.080	 5.20	SLF+SPB      	
      84	4	HD 53244   	148109427	 	 0.041	 1.0	 0.16000	 0.00020	  0.755	 0.008	 7.12	SLF+rot      	
      85	4	HD 37128   	 66651575	+	 0.046	 1.0	 0.05900	 0.00300	  9.000	 1.000	 3.21	SLF+SPB?     	
      86	4	HD 38771   	427451176	+	 0.046	 1.0	 0.04600	 0.00200	  8.500	 0.700	 4.04	SLF+SPB?     	
      87	4	HD 53138   	 80466973	 	 0.041	 1.0	 0.12580	 0.00040	  3.990	 0.070	 5.62	SLF+SPB?     	
      88	4	HD 39985   	102281507	 	 0.046	 1.0	 0.28640	 0.00080	  0.102	 0.003	 4.20	SLF?         	
      89	5	HD 37022   	427394772	 	 0.046	 1.0	 0.30700	 0.00200	  0.970	 0.080	 2.41	cont.        	IV
      90	5	HD 46056   	234834992	 	 0.046	 1.0	 2.06300	 0.00100	  0.300	 0.020	 3.69	PQ           	IV
      91	5	HD 37061   	427393920	 	 0.046	 1.0	 0.91240	 0.00040	  0.930	 0.010	 5.88	rot          	*
      92	5	HD 37742   	 11360636	+	 0.046	 1.0	 0.28000	 0.00200	  4.400	 0.400	 2.69	SLF          	
      93	5	HD 57682   	187458882	 	 0.041	 1.0	 0.28700	 0.00080	  0.400	 0.010	 3.13	SLF          	
      94	5	HD 54879   	177860391	 	 0.041	 1.0	 1.00200	 0.00100	  0.112	 0.005	 4.18	SLF?         	
      95	5	HD 37479   	 11286209	 	 0.046	 1.0	 1.67890	 0.00090	  6.500	 0.200	 8.11	rot          	*
      96	6	HD 39680   	 91791971	 	 0.046	 1.0	 1.68700	 0.00200	  1.500	 0.100	 3.41	SLF+SPB?     	
      97	6	HD 45314   	438306275	 	 0.046	 1.0	 0.28700	 0.00200	  1.700	 0.100	 3.34	SLF+SPB?     	
      98	6	HD 58978   	139385056	 	 0.041	 1.0	 8.99100	 0.00100	  2.600	 0.200	 5.92	beta Cep     	*

