TIC,class_gold,class_raw,class_is_inferred,class_reference,ra_deg,dec_deg,period_gold,period_n,period_spread,period_references,period_methods,n_products,n_sectors,has_light_curve,period_is_group,period_usable
10510382,AMBIGUOUS,Ambiguous variability,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
10536200,BE,Be=Y; signals=L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),246.9534,-53.53474,0.8547008547008548,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,2.0,2.0,True,True,False
11286198,AMBIGUOUS,cont.,False,2020A&A...639A..81B (Burssens+ 2020),,,0.5956635692161067,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,True
11286209,ROT,rot,False,2020A&A...639A..81B (Burssens+ 2020),,,0.5956280898207159,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,True
11360636,SLF,SLF,False,2020A&A...639A..81B (Burssens+ 2020),85.1897,-1.94257,3.571428571428571,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,False
11411724,OTHER,Be=U (rejected/other); signals=,False,2022AJ....163..226L (Labadie-Bartz+ 2022),85.409923,-2.259013,,,,,,1.0,1.0,True,False,False
11559798,BE,Be=Y; signals=I/L/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),149.77637,-23.95079,0.425531914893617,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
11972111,BE,Be=Y; signals=S/I/L,False,2022AJ....163..226L (Labadie-Bartz+ 2022),146.34172,-30.20277,,,,,,3.0,3.0,True,True,False
12149245,AMBIGUOUS,Ambiguous variability,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
12359289,ROT,rot,False,2019ApJ...872L...9P (Pedersen+ 2019),0.90458,-28.41714,3.070961538461538,2.0,1.0038900740368928,2019MNRAS.485.3457B (Balona+ 2019) | 2022ApJ...924....2B (Barraza+ 2022),visual,,,False,False,True
14088298,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),77.11026,-40.91243,0.3048780487804878,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
14249970,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
14498757,BE,Be=Y; signals=S/L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),111.11521,15.51721,0.4716981132075471,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
14709809,OTHER,Be=N (rejected/other); signals=,False,2022AJ....163..226L (Labadie-Bartz+ 2022),111.8507,15.65966,,,,,,,,False,False,False
16046443,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
16876025,OTHER,sdB candidate (MSRot),False,2025ApJ...989..177C (Campelo+ 2025),,,2.349,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
16876165,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
16902823,BE,Be=Y; signals=S/L/F/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),264.307548,-45.157448,0.9523809523809524,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
17124499,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
17656164,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
18745933,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
21249978,BE,Be=S; signals=S/I/L/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),267.57862,-47.23054,,,,,,,,False,True,False
21343832,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
21372970,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
21599042,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
21682866,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
22123033,BE,Be=Y; signals=S/I/H/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),148.52138,-27.99894,0.5319148936170213,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
22688271,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),268.41493,-42.89751,0.4716981132075471,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
22825907,OTHER,Be=U (rejected/other); signals=,False,2022AJ....163..226L (Labadie-Bartz+ 2022),248.41336,-51.26262,,,,,,,,False,False,False
23037766,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),109.576625,-36.7339527778,0.9615384615384616,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
23091719,OTHER,Be=U (rejected/other); signals=,False,2022AJ....163..226L (Labadie-Bartz+ 2022),109.659125,-36.7427361111,,,,,,,,False,False,False
23321922,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),269.05579,-46.70213,1.818181818181818,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
23708714,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
25256180,BE,Be=Y; signals=S/L/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),98.18017,-7.50899,0.6211180124223602,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
25883580,BE,Be=Y; signals=S/L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),248.68146,-49.55264,0.9523809523809524,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,2.0,2.0,True,True,False
26175330,OTHER,Be=U (rejected/other); signals=,False,2022AJ....163..226L (Labadie-Bartz+ 2022),152.531416667,-8.40816666667,,,,,,,,False,False,False
28885389,BE,Be=Y; signals=L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),249.0491,-49.26318,0.8620689655172414,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
29051733,BE,Be=Y; signals=S/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),132.60944,-46.58458,0.7518796992481203,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
29122883,BE,Be=Y; signals=S/L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),132.64915,-45.54896,0.4184100418410041,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,3.0,3.0,True,True,False
29207816,SLF,SLF,False,2020A&A...639A..81B (Burssens+ 2020),,,2.0214271275520517,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,4.0,4.0,True,False,False
29628522,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),97.1635,-32.3712777778,0.5780346820809249,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
29690468,BE,Be=Y; signals=S/I+/L/H/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),133.34172,-46.03575,1.351351351351351,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,5.0,5.0,True,True,False
29786229,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),109.99744,-40.49491,1.4084507042253522,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
29990592,PULS,ACYG,False,2019MNRAS.485.3457B (Balona+ 2019),73.07956,-66.73148,,,,,,,,False,False,False
30051402,BE,Be=Y; signals=H/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),133.78614,-43.46656,0.3787878787878788,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
30110048,PULS,ACYG,False,2019MNRAS.485.3457B (Balona+ 2019),73.37514,-66.9245,,,,,,31.0,31.0,True,False,False
30135331,PULS,SLF+SPB?,False,2020A&A...639A..81B (Burssens+ 2020),,,4.25531914893617,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,3.0,3.0,True,False,True
30268695,PULS,ACYG,False,2019MNRAS.485.3457B (Balona+ 2019),74.04357,-69.26064,,,,,,32.0,32.0,True,False,False
30275662,PULS,ACYG,False,2019MNRAS.485.3457B (Balona+ 2019),74.09789,-66.4978,,,,,,,,False,False,False
30275861,ROT,rot,False,2019ApJ...872L...9P (Pedersen+ 2019),74.18013,-66.41739,,,,,,,,False,False,False
30312676,PULS,ACYG,False,2019MNRAS.485.3457B (Balona+ 2019),74.28677,-66.39033,,,,,,,,False,False,False
30312711,ECL,SLF / rot / EB?,False,2019ApJ...872L...9P (Pedersen+ 2019),74.25369,-66.407,,,,,,,,False,False,False
30317301,ECL,EB,False,2019MNRAS.485.3457B (Balona+ 2019),74.28357,-68.42008,,,,,,33.0,33.0,True,False,False
30444949,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),198.66953,-38.65158,0.8,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
30562668,OTHER,Be=N (rejected/other); signals=,False,2022AJ....163..226L (Labadie-Bartz+ 2022),134.28156,-43.25616,,,,,,4.0,4.0,True,False,False
30653985,SLF,SLF,False,2020A&A...639A..81B (Burssens+ 2020),134.47757,-47.73769,1.9120458891013383,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,4.0,4.0,True,False,False
30933383,PULS,ACYG,False,2019MNRAS.485.3457B (Balona+ 2019),76.20907,-68.13121,,,,,,,,False,False,False
31062736,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),135.09277,-43.17397,0.6289308176100629,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
31071126,BE,Be=Y; signals=I+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),135.05859,-46.68569,0.4329004329004329,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
31105740,PULS,ACYG,False,2019MNRAS.485.3457B (Balona+ 2019),76.36298,-68.1674,,,,,,,,False,False,False
31181554,PULS,ACYG,False,2019MNRAS.485.3457B (Balona+ 2019),76.83509,-68.53571,,,,,,33.0,33.0,True,False,False
31449841,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),249.54586,-48.21988,0.4424778761061947,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
31674330,NOISY,Noisy,False,2022ApJ...924....2B (Barraza+ 2022),47.62925,-68.60094,,,,,,,,False,False,False
31867144,ROT,rot / SPB + {Beta} Cep hybrid?,False,2019ApJ...872L...9P (Pedersen+ 2019),52.71545,-66.48971,,,,,,,,False,False,False
32667467,BE,Be=Y; signals=S,False,2022AJ....163..226L (Labadie-Bartz+ 2022),104.33591,-4.19375,,,,,,2.0,2.0,True,True,False
33287617,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),105.84845,-2.74404,1.2987012987012987,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,2.0,2.0,True,True,False
33362448,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),105.90491,-2.47418,0.4081632653061224,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
33945685,ROT,ROT,False,2019MNRAS.485.3457B (Balona+ 2019),356.71589,-24.29362,0.3527336860670194,1.0,1.0,2019MNRAS.485.3457B (Balona+ 2019),visual,,,False,False,True
33993533,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),94.0320416667,-16.6180055556,0.4716981132075471,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
34512896,SLF,SLF?,False,2020A&A...639A..81B (Burssens+ 2020),,,3.2679738562091503,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,False
34590771,PULS,beta Cep,False,2020A&A...639A..81B (Burssens+ 2020),95.67494,-17.95592,0.2513573295797305,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,True
35311214,BE,Be=Y; signals=S/L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),249.84824,-52.53593,0.4291845493562232,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,2.0,2.0,True,True,False
35735021,BE,Be=Y; signals=I,False,2022AJ....163..226L (Labadie-Bartz+ 2022),249.95846,-52.12105,,,,,,,,False,True,False
37777866,PULS,SLF+SPB,False,2020A&A...639A..81B (Burssens+ 2020),65.17848,-7.5925,3.546099290780142,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,True
38118168,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),136.92442,-29.00331,,,,,,,,False,True,False
38602305,ROT,rot,False,2019ApJ...872L...9P (Pedersen+ 2019),64.4178,-63.25541,2.972395238095238,2.0,1.0025569211717564,2019MNRAS.485.3457B (Balona+ 2019) | 2022ApJ...924....2B (Barraza+ 2022),visual,,,False,False,True
39174351,OTHER,sdB candidate (EB),False,2025ApJ...989..177C (Campelo+ 2025),,,0.276,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
39947484,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
40343782,PULS,SLF / SPB?,False,2019ApJ...872L...9P (Pedersen+ 2019),77.43831,-68.76941,,,,,,,,False,False,False
41331819,BE,rot / outburst?,False,2019ApJ...872L...9P (Pedersen+ 2019),92.18442,-68.84341,1.400440112044818,2.0,1.0001715494241574,2019MNRAS.485.3457B (Balona+ 2019) | 2022ApJ...924....2B (Barraza+ 2022),visual,,,False,True,False
41792209,PULS,SLF+SPB?,False,2020A&A...639A..81B (Burssens+ 2020),256.6182,-35.45104,1.269035532994924,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,True
42753726,BE,Be=Y; signals=S/L/F/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),228.81742,-58.17288,,,,,,,,False,True,False
42889751,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),97.0941,-4.46214,1.1764705882352942,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,2.0,2.0,True,True,False
43284243,ROT,SLF+rot?,False,2020A&A...639A..81B (Burssens+ 2020),257.05826,-35.00435,9.174311926605505,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.0,2.0,True,False,True
43708176,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),229.28782,-57.0289,0.4587155963302752,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
46028220,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),131.677291667,-56.769775,0.5128205128205129,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
46211527,BE,Be=Y; signals=I/H/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),230.50626,-55.23843,0.4,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
46226875,BE,Be=Y; signals=S/L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),132.2251,-54.27296,0.4926108374384237,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
46705199,BE,Be=Y; signals=L/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),230.844333333,-59.3207805556,0.4347826086956522,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
47296054,BE,rot / SPB / Be,False,2019ApJ...872L...9P (Pedersen+ 2019),340.163916667,-27.0436166667,1.1933242196400091,2.0,1.0047846889952154,2019MNRAS.485.3457B (Balona+ 2019) | 2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
47377536,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
47581488,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
47583864,PULS,Pulsation (IGW?),False,2025ApJ...989..177C (Campelo+ 2025),,,2.374,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
47763235,PULS,beta Cep,False,2020A&A...639A..81B (Burssens+ 2020),97.96403,-23.41842,0.2062888504663104,2.0,1.0324024676483783,2020A&A...639A..81B (Burssens+ 2020) | 2025ApJ...989..177C (Campelo+ 2025),visual | visual+spectroscopy,,,False,False,True
48022676,ROT,Rotation,False,2025ApJ...989..177C (Campelo+ 2025),,,6.449,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
48217508,ROT,Rotation,False,2025ApJ...989..177C (Campelo+ 2025),,,2.785,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,12.0,12.0,True,False,True
48503549,PULS,Pulsation,False,2025ApJ...989..177C (Campelo+ 2025),,,0.936,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
49687057,OTHER,instr / binary?,False,2019ApJ...872L...9P (Pedersen+ 2019),351.68955,-11.0326,,,,,,,,False,False,False
50743458,AMBIGUOUS,Ambiguous variability,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
50743469,ECL,EB,False,2020A&A...639A..81B (Burssens+ 2020),,,2.862049227246709,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,True
50787573,PULS,Pulsation (SPB?),False,2025ApJ...989..177C (Campelo+ 2025),,,1.542,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
51033628,BE,Be=Y; signals=I/H/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),127.58529,-10.61622,0.4716981132075471,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
51288359,BE,Be=S; signals=S/I/H,False,2022AJ....163..226L (Labadie-Bartz+ 2022),251.96419,-51.76774,,,,,,,,False,True,False
52638345,BE,Be=Y; signals=L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),101.118625,-31.070525,1.639344262295082,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
52665242,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),99.1472083333,-5.21114166667,0.8771929824561404,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
52686322,BE,Be=Y; signals=L/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),101.379958333,-30.9489805556,0.7692307692307692,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
52748770,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),99.27393,-2.17903,,,,,,,,False,True,False
52929072,BE,Be=Y; signals=L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),125.84543,-45.75304,0.7874015748031495,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
53063082,OTHER,Be=N (rejected/other); signals=,False,2022AJ....163..226L (Labadie-Bartz+ 2022),102.597291667,-31.7060583333,,,,,,,,False,False,False
53301259,BE,Be=Y; signals=L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),126.32417,-45.16262,0.5434782608695652,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
53327951,BE,Be=Y; signals=L/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),100.00659,-4.69874,,,,,,2.0,2.0,True,True,False
53992511,BE,rot / SPB / Be,False,2019ApJ...872L...9P (Pedersen+ 2019),331.153208333,-26.8223611111,0.6666666666666666,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
55295028,BE,rot / SPB / Be,False,2019ApJ...872L...9P (Pedersen+ 2019),76.80385,-61.80512,1.162790697674419,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
55642026,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
55753808,OTHER,sdB candidate (EB),False,2025ApJ...989..177C (Campelo+ 2025),,,0.202,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
56179720,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),71.0221666667,-8.50356666667,1.36986301369863,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
56447057,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),253.01404,-53.82939,0.5649717514124294,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
56863037,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
57189056,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
57257430,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
58105597,OTHER,sdB candidate,False,2025ApJ...989..177C (Campelo+ 2025),,,2.749,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
59215060,PULS,SPB,False,2020A&A...639A..81B (Burssens+ 2020),85.32382,16.53415,2.220741727737064,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,True
61678783,BE,Be=Y; signals=L/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),109.40164,-9.41444,1.1363636363636365,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
63198307,ROT,SLF+rot?,False,2020A&A...639A..81B (Burssens+ 2020),104.65645,-28.97209,4.273504273504273,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,True
63719894,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
65403216,ROT,Rotation,False,2025ApJ...989..177C (Campelo+ 2025),,,2.729,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
65672662,BE,Be=Y; signals=S/I/L/H/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),113.99079,-3.36828,0.5181347150259068,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
65803653,BE,Be=Y; signals=I/H/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),108.563375,-26.3525083333,0.7518796992481203,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
65903024,BE,Be=Y; signals=L/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),108.702708333,-26.7726694444,1.6129032258064515,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
66497441,ELL,EV / rot? / SPB?,False,2019ApJ...872L...9P (Pedersen+ 2019),356.05033,-18.27695,,,,,,,,False,False,False
66651575,PULS,SLF+SPB?,False,2020A&A...639A..81B (Burssens+ 2020),86.93912,-9.6696,16.949152542372882,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,,,False,False,True
67423472,OTHER,sdB candidate,False,2025ApJ...989..177C (Campelo+ 2025),,,0.189,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
68003064,BE,Be=Y; signals=,False,2022AJ....163..226L (Labadie-Bartz+ 2022),115.88389,-4.68065,,,,,,,,False,True,False
68495594,OTHER,sdB candidate (Bin),False,2025ApJ...989..177C (Campelo+ 2025),,,0.037,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
68873560,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
69025787,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
69925250,PULS,known {Beta} Cep,False,2019ApJ...872L...9P (Pedersen+ 2019),339.40952,-18.66424,,,,,,,,False,False,False
70966650,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),236.51295,-58.95244,0.5988023952095809,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
71132174,BE,Be=Y; signals=L/F+/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),67.278875,-13.0483666667,0.7246376811594204,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
71146552,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
71727949,BE,Be=Y; signals=S/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),91.05625,-6.70893888889,,,,,,,,False,True,False
73039225,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),120.18388,-2.88191,0.8849557522123894,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
