TIC,class_raw,class_paper,class_tokens,reference,method,period,class_is_inferred,source_table,ra_deg,dec_deg
11360636,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,3.571428571428571,False,J/A+A/639/A81/table2 x tablea1,85.1897,-1.94257
11360636,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,85.1897,-1.94257
11411724,Be=U (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,85.409923,-2.259013
11559798,Be=Y; signals=I/L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.425531914893617,False,J/AJ/163/226/table2,149.77637,-23.95079
11972111,Be=Y; signals=S/I/L,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,146.34172,-30.20277
12149245,Ambiguous variability,AMBIGUOUS,AMBIGUOUS,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 7 (article HTML)",,
12359289,rot,ROT,ROT,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,0.90458,-28.41714
12359289,SXARI,ROT,ROT,2019MNRAS.485.3457B (Balona+ 2019),visual,3.0769230769230766,False,J/MNRAS/485/3457/table1,0.90458,-28.41714
12359289,Rotation,ROT,ROT,2022ApJ...924....2B (Barraza+ 2022),visual,3.065,False,arXiv:2202.01022 Table 2,0.90458,-28.41714
14088298,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.3048780487804878,False,J/AJ/163/226/table2,77.11026,-40.91243
14249970,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
14498757,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4716981132075471,False,J/AJ/163/226/table2,111.11521,15.51721
14709809,Be=N (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,111.8507,15.65966
16046443,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
16876025,sdB candidate (MSRot),OTHER,OTHER,2025ApJ...989..177C (Campelo+ 2025),visual,2.349,False,"ApJ 989,177 Table 6 (MRT)",,
16876165,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
16902823,Be=Y; signals=S/L/F/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.9523809523809523,False,J/AJ/163/226/table2,264.307548,-45.157448
17124499,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
17656164,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
18745933,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
21249978,Be=S; signals=S/I/L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,267.57862,-47.23054
21343832,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
21372970,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
21599042,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
21682866,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
22123033,Be=Y; signals=S/I/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.5319148936170213,False,J/AJ/163/226/table2,148.52138,-27.99894
22688271,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4716981132075471,False,J/AJ/163/226/table2,268.41493,-42.89751
22825907,Be=U (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,248.41336,-51.26262
23037766,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.9615384615384615,False,J/AJ/163/226/table2,109.576625,-36.7339527778
23091719,Be=U (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,109.659125,-36.7427361111
23321922,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.8181818181818181,False,J/AJ/163/226/table2,269.05579,-46.70213
23708714,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
25256180,Be=Y; signals=S/L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.6211180124223602,False,J/AJ/163/226/table2,98.18017,-7.50899
25883580,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.9523809523809523,False,J/AJ/163/226/table2,248.68146,-49.55264
26175330,Be=U (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,152.531416667,-8.40816666667
28885389,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.8620689655172414,False,J/AJ/163/226/table2,249.0491,-49.26318
29051733,Be=Y; signals=S/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.7518796992481203,False,J/AJ/163/226/table2,132.60944,-46.58458
29122883,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.41841004184100417,False,J/AJ/163/226/table2,132.64915,-45.54896
29207816,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.0214271275520517,False,J/A+A/639/A81/table2 x tablea1,,
29628522,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.5780346820809249,False,J/AJ/163/226/table2,97.1635,-32.3712777778
29690468,Be=Y; signals=S/I+/L/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.3513513513513513,False,J/AJ/163/226/table2,133.34172,-46.03575
29786229,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.4084507042253522,False,J/AJ/163/226/table2,109.99744,-40.49491
29990592,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,73.07956,-66.73148
29990592,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,73.07956,-66.73148
30051402,Be=Y; signals=H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.3787878787878788,False,J/AJ/163/226/table2,133.78614,-43.46656
30110048,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,73.37514,-66.9245
30110048,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,73.37514,-66.9245
30135331,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,4.25531914893617,False,J/A+A/639/A81/table2 x tablea1,,
30268695,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,74.04357,-69.26064
30268695,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,74.04357,-69.26064
30275662,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,74.09789,-66.4978
30275662,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,74.09789,-66.4978
30275861,rot,ROT,ROT,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,74.18013,-66.41739
30312676,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,74.28677,-66.39033
30312676,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,74.28677,-66.39033
30312711,SLF / rot / EB?,ECL,ECL|ROT|SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,74.25369,-66.407
30317301,EV / rot / SLF,ELL,ELL|ROT|SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,74.28357,-68.42008
30317301,EB,ECL,ECL,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,74.28357,-68.42008
30317301,Ambiguous variability/EB/Pulsation,AMBIGUOUS,ECL|PULS,2022ApJ...924....2B (Barraza+ 2022),visual,,False,arXiv:2202.01022 Table 4,74.28357,-68.42008
30444949,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.8,False,J/AJ/163/226/table2,198.66953,-38.65158
30562668,Be=N (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,134.28156,-43.25616
30653985,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.9120458891013383,False,J/A+A/639/A81/table2 x tablea1,134.47757,-47.73769
30653985,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,134.47757,-47.73769
30933383,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,76.20907,-68.13121
30933383,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,76.20907,-68.13121
31062736,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.6289308176100629,False,J/AJ/163/226/table2,135.09277,-43.17397
31071126,Be=Y; signals=I+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4329004329004329,False,J/AJ/163/226/table2,135.05859,-46.68569
31105740,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,76.36298,-68.1674
31105740,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,76.36298,-68.1674
31181554,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,76.83509,-68.53571
31181554,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,76.83509,-68.53571
31449841,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4424778761061947,False,J/AJ/163/226/table2,249.54586,-48.21988
31674330,-,,,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,47.62925,-68.60094
31674330,Noisy,NOISY,NOISY,2022ApJ...924....2B (Barraza+ 2022),visual,,False,arXiv:2202.01022 Table 3,47.62925,-68.60094
31867144,rot / SPB + {Beta} Cep hybrid?,ROT,PULS|ROT,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,52.71545,-66.48971
31867144,SPB,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,52.71545,-66.48971
31867144,Ambiguous variability/Rotation+SPB,AMBIGUOUS,PULS|ROT,2022ApJ...924....2B (Barraza+ 2022),visual,,False,arXiv:2202.01022 Table 4,52.71545,-66.48971
32667467,Be=Y; signals=S,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,104.33591,-4.19375
33287617,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.2987012987012987,False,J/AJ/163/226/table2,105.84845,-2.74404
33362448,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4081632653061224,False,J/AJ/163/226/table2,105.90491,-2.47418
33945685,instr? ({nu}_inst_~2.8d^-1^)/puls,PULS,AMBIGUOUS|PULS,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,356.71589,-24.29362
33945685,ROT,ROT,ROT,2019MNRAS.485.3457B (Balona+ 2019),visual,0.3527336860670194,False,J/MNRAS/485/3457/table1,356.71589,-24.29362
33945685,Noisy,NOISY,NOISY,2022ApJ...924....2B (Barraza+ 2022),visual,,False,arXiv:2202.01022 Table 3,356.71589,-24.29362
33993533,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4716981132075471,False,J/AJ/163/226/table2,94.0320416667,-16.6180055556
34512896,SLF?,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,3.2679738562091503,False,J/A+A/639/A81/table2 x tablea1,,
34590771,beta Cep,PULS,PULS,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.25135732957973056,False,J/A+A/639/A81/table2 x tablea1,95.67494,-17.95592
34590771,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,95.67494,-17.95592
35311214,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4291845493562232,False,J/AJ/163/226/table2,249.84824,-52.53593
35735021,Be=Y; signals=I,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,249.95846,-52.12105
37777866,SLF+SPB,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,3.546099290780142,False,J/A+A/639/A81/table2 x tablea1,65.17848,-7.5925
37777866,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,65.17848,-7.5925
38118168,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,136.92442,-29.00331
38602305,rot,ROT,ROT,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,64.4178,-63.25541
38602305,ROT,ROT,ROT,2019MNRAS.485.3457B (Balona+ 2019),visual,2.976190476190476,False,J/MNRAS/485/3457/table1,64.4178,-63.25541
38602305,Rotation,ROT,ROT,2022ApJ...924....2B (Barraza+ 2022),visual,2.9686,False,arXiv:2202.01022 Table 2,64.4178,-63.25541
39174351,sdB candidate (EB),OTHER,OTHER,2025ApJ...989..177C (Campelo+ 2025),visual,0.276,False,"ApJ 989,177 Table 6 (MRT)",,
39947484,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
40343782,SLF / SPB?,PULS,PULS|SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,77.43831,-68.76941
40343782,ACYG?,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,77.43831,-68.76941
41331819,rot / outburst?,BE,BE|ROT,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,92.18442,-68.84341
41331819,ROT,ROT,ROT,2019MNRAS.485.3457B (Balona+ 2019),visual,1.400560224089636,False,J/MNRAS/485/3457/table1,92.18442,-68.84341
41331819,Rotation,ROT,ROT,2022ApJ...924....2B (Barraza+ 2022),visual,1.40032,False,arXiv:2202.01022 Table 2,92.18442,-68.84341
41792209,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.2690355329949239,False,J/A+A/639/A81/table2 x tablea1,256.6182,-35.45104
41792209,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,256.6182,-35.45104
42753726,Be=Y; signals=S/L/F/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,228.81742,-58.17288
42889751,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.1764705882352942,False,J/AJ/163/226/table2,97.0941,-4.46214
43284243,SLF+rot?,ROT,ROT|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,9.174311926605505,False,J/A+A/639/A81/table2 x tablea1,257.05826,-35.00435
43284243,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,257.05826,-35.00435
43708176,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4587155963302752,False,J/AJ/163/226/table2,229.28782,-57.0289
46028220,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.5128205128205129,False,J/AJ/163/226/table2,131.677291667,-56.769775
46211527,Be=Y; signals=I/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4,False,J/AJ/163/226/table2,230.50626,-55.23843
46226875,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4926108374384237,False,J/AJ/163/226/table2,132.2251,-54.27296
46705199,Be=Y; signals=L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4347826086956522,False,J/AJ/163/226/table2,230.844333333,-59.3207805556
47296054,rot / SPB / Be,BE,BE|PULS|ROT,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,340.163916667,-27.0436166667
47296054,SPB+ROT,ROT,PULS|ROT,2019MNRAS.485.3457B (Balona+ 2019),visual,1.1961722488038278,False,J/MNRAS/485/3457/table1,340.163916667,-27.0436166667
47296054,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.1904761904761905,False,J/AJ/163/226/table2,340.163916667,-27.0436166667
47296054,Ambiguous variability/Rotation+Pulsation,AMBIGUOUS,PULS|ROT,2022ApJ...924....2B (Barraza+ 2022),visual,,False,arXiv:2202.01022 Table 4,340.163916667,-27.0436166667
47377536,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
47581488,Noisy,NOISY,NOISY,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 3 (MRT)",,
47583864,Pulsation (IGW?),PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,2.374,False,"ApJ 989,177 Table 4 (article HTML)",,
47763235,beta Cep,PULS,PULS,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.2095777009326208,False,J/A+A/639/A81/table2 x tablea1,97.96403,-23.41842
47763235,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,97.96403,-23.41842
47763235,Pulsation,PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,0.203,False,"ApJ 989,177 Table 4 (article HTML)",97.96403,-23.41842
48022676,Rotation,ROT,ROT,2025ApJ...989..177C (Campelo+ 2025),visual,6.449,False,"ApJ 989,177 Table 2 (article HTML)",,
48217508,Rotation,ROT,ROT,2025ApJ...989..177C (Campelo+ 2025),visual,2.785,False,"ApJ 989,177 Table 2 (article HTML)",,
48503549,Pulsation,PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,0.936,False,"ApJ 989,177 Table 4 (article HTML)",,
49687057,instr / binary?,OTHER,AMBIGUOUS|OTHER,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,351.68955,-11.0326
49687057,-,,,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,351.68955,-11.0326
49687057,Noisy,NOISY,NOISY,2022ApJ...924....2B (Barraza+ 2022),visual,,False,arXiv:2202.01022 Table 3,351.68955,-11.0326
50743458,Ambiguous variability,AMBIGUOUS,AMBIGUOUS,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 7 (article HTML)",,
50743469,EB,ECL,ECL,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.862049227246709,False,J/A+A/639/A81/table2 x tablea1,,
50787573,Pulsation (SPB?),PULS,PULS,2025ApJ...989..177C (Campelo+ 2025),visual,1.542,False,"ApJ 989,177 Table 4 (article HTML)",,
51033628,Be=Y; signals=I/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4716981132075471,False,J/AJ/163/226/table2,127.58529,-10.61622
51288359,Be=S; signals=S/I/H,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,251.96419,-51.76774
52638345,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.639344262295082,False,J/AJ/163/226/table2,101.118625,-31.070525
52665242,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.8771929824561404,False,J/AJ/163/226/table2,99.1472083333,-5.21114166667
52686322,Be=Y; signals=L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.7692307692307692,False,J/AJ/163/226/table2,101.379958333,-30.9489805556
52748770,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,99.27393,-2.17903
52929072,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.7874015748031495,False,J/AJ/163/226/table2,125.84543,-45.75304
53063082,Be=N (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,102.597291667,-31.7060583333
53301259,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.5434782608695652,False,J/AJ/163/226/table2,126.32417,-45.16262
53327951,Be=Y; signals=L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,100.00659,-4.69874
53992511,rot / SPB / Be,BE,BE|PULS|ROT,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,331.153208333,-26.8223611111
53992511,BE(BE),BE,BE,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,331.153208333,-26.8223611111
53992511,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.6666666666666666,False,J/AJ/163/226/table2,331.153208333,-26.8223611111
53992511,Ambiguous variability/Rotation/SPB,AMBIGUOUS,PULS|ROT,2022ApJ...924....2B (Barraza+ 2022),visual,,False,arXiv:2202.01022 Table 4,331.153208333,-26.8223611111
55295028,rot / SPB / Be,BE,BE|PULS|ROT,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,76.80385,-61.80512
55295028,BE,BE,BE,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,76.80385,-61.80512
55295028,Be=Y; signals=I/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.1627906976744187,False,J/AJ/163/226/table2,76.80385,-61.80512
